Supplementary Table S1: Summary of identified proteins,,,,,,,,,,,,,,,,,,,
id,Class,Protein.ID,RefSeq,Offical gene symbol,Uniprot,log2FC.experiment L1,log2FC.experiment H1 (label swap),log2FC.experiment L2,mean log2FC (experiment 1-3),log10 iBAQ,Functional Group,RNA binding,spliceosome,nucleolus,OMIM Phenotype,Phenotype MIM number,RNA-binding prediction (% precision),mRNA-binding prediction (% precision),ssRNA-binding prediction (% precision)
262,I,IPI00012149,NP_005782,MPHOSPH10,O00566;B3KPV5;C9JX83,-6.416608006,2.729422253,-4.581527209,4.5758524893,7.0850040594,candidate mRNA binder,,,x,,,80,,
911,I,IPI00290460,NP_003746,EIF3G,O75821;A8K5K5;Q6IAM0,-6.207481108,2.949534933,-4.559383673,4.572133238,7.6182716081,translationfactor,x,,,,,,,
802,I,IPI00216992,NP_742068,RC3H1,Q5TC82-1;Q5TC82;B7ZMB3;B9EGU6;Q5TC82-2,-5.8646385,2.827493874,-5.019006645,4.570379673,6.6490209613,RNAbinding,x,,,,,,,
611,I,IPI00827597,NP_079215,ESRP2,Q9H6T0-1;Q9H6T0;Q9H6T0-2,-5.295340473,2.96349262,-5.449201756,4.5693449497,7.5481779921,RNAbinding,x,,,,,,,
220,I,IPI00009841,NP_053733,EWSR1,Q96MX4;Q01844-1;Q01844;Q96FE8;B0QYK0;B0QYK1;Q96MN4;C9JGE3;Q01844-2,-5.381423032,3.283818084,-5.019942518,4.561727878,8.1209942896,RNAbinding,x,,x,Ewing sarcoma; Neuroepithelioma ,612219,20,,
1180,I,IPI00456359,NP_009176 ,ATXN2L,Q8WWM7-1;Q8WWM7;Q8WWM7-3;Q63ZY4;Q8WWM7-2;A8K1R6;Q8WWM7-4;Q8WWM7-5;Q8WWM7-6,-5.53022236,2.842838074,-5.290194145,4.554418193,8.0465172187,RNAbinding,x,,,,,0,,
1471,I,IPI00954479,NP_002083 ,GRSF1,B3KW50;Q12849;B3KP14;B7Z2D8;B7Z3R7;B7Z5F9;B3KPW0,-5.446682754,2.848036981,-5.336427665,4.5437158,8.1919658633,RNAbinding,x,,,,,,,
762,I,IPI00182757,NP_066997,KIAA1967,Q8N163-1;Q8N163;B3KTJ9;Q8N163-2,-5.320543772,2.980354395,-5.317433894,4.5394440203,7.9471466522,RNAbinding,,,,,,20,,
1427,I,IPI00910884,NP_620412,MSI2,B4DHE8;Q96DH6-1;Q96DH6;B4DM51,-5.199613196,3.042311639,-5.35013258,4.530685805,8.3442562337,RNAbinding,x,,,,,,,
781,I,IPI00215884,NP_008855 ,SRSF1,Q07955-1;Q07955;A8K1L8;Q07955-2;Q07955-3;Q59FA2,-5.418272761,2.798527531,-5.358276419,4.5250255703,8.9869197572,RNAbinding,x,x,x,,,,50,
1308,I,IPI00655650,NP_001020,RPS26,P62854;Q76N56;Q5JVH5;Q75MH1;Q5JNZ5,-5.828116828,2.544806829,-5.19759996,4.5235078723,8.4341881973,ribosomal,,,,Diamond-Blackfan anemia 10,613309,,,
334,I,IPI00016250,NP_004851,FXR2,P51116;Q86V09,-5.248409454,2.968219805,-5.317376367,4.5113352087,8.2611200636,RNAbinding,x,,,,,,,
1120,I,IPI00411816,NP_057034,MRPL2,Q5T653;C9IY40;B4DVE2;C9JZW2,-5.544695666,2.453359539,-5.534295038,4.5107834143,6.5068671693,ribosomal,,,,,,50,,
748,I,IPI00916503,NP_055485,BZW1,B4DLZ8;Q53FN7;B4DWF7;Q7L1Q6-1;Q7L1Q6;Q7L1Q6-2;C9IZ80;C9JFN4;C9JWF5;C9J188,-7.223756509,2.250719083,-4.002102095,4.4921925623,5.6693139744,candidate mRNA binder,,,,,,50,,
987,I,IPI00555647,NP_004584,TRA2B,Q59GA1;P62995-1;P62995;B2RDQ3;Q68DZ9;Q8N1H4;P62995-3;C9JGU7,-5.392530957,2.788330735,-5.281694932,4.4875188747,8.7248125754,RNAbinding,x,x,,,,,,
329,I,IPI00015953,NP_004719,DDX21,Q9NR30-1;Q9NR30;Q3SWU7;Q8NI92;Q9NR30-2,-5.202054035,2.907140641,-5.346077835,4.485090837,8.7647980198,helicase,x,,x,,,,,20
1382,I,IPI00844237,NP_004629 ,PRRC2A,P48634-1;P48634;B4DLY2;B4DQ12;B0UX77;C9JXZ3;P48634-3;C9JD87;C9JI93;C9JI26;C9JTL3;C9JTM3;P48634-2;C9JB33;C9J1F6;C9J9U2;A6NG23;C9J6L0;C9JAS0;C9J8K3;C9JM53;C9JI89;C9JAP8;P48634-4,-5.625222016,2.776735687,-5.028392808,4.4767835037,8.0640709453,candidate mRNA binder,,,,,,20,,
1004,I,IPI00304069,NP_116184,RPUSD4,Q96CM3;B4DUN4,-4.779878105,3.503475951,-5.144278143,4.4758773997,6.6368814842,RNAmod,x,,,,,,,
693,I,IPI00165230,NP_733829,DAZAP1,Q96EP5-1;Q96EP5;B3KS63;Q96EP5-2,-5.307801366,2.843983844,-5.264401574,4.4720622613,8.9687630482,RNAbinding,x,,,,,,,
1111,I,IPI00410590,NP_056393,LSM14A,Q8ND56-2;Q8ND56;Q8ND56-1;B4DTG6,-4.67348106,3.052763657,-5.666906063,4.4643835933,7.9813300293,RNAbinding,x,,,,,80,20,
1182,I,IPI00456887,NP_001073027,HNRNPUL2,Q1KMD3,-5.442661477,3.029205495,-4.917940568,4.46326918,8.5718144208,RNAbinding,x,,,,,0,,
776,I,IPI00215724,NP_002015,FMR1,Q06787-5;Q06787;A6NNH4;Q06787-3,-5.305060987,3.093543275,-4.979236823,4.4592803617,5.9835821135,RNAbinding,x,,,Fragile X syndrome; Fragile X tremor/ataxia syndrome: Premature ovarian failure 1 ,"300624, 300623, 311360",,,
1469,I,IPI00953461,NP_055970,LARP4B,Q92615;A7MD20,-5.456975358,3.061154063,-4.837449636,4.4518596857,7.9826861027,RNAbinding,x,,,,,,20,
571,I,IPI00031556,NP_009210,U2AF2,P26368-1;P26368;B5BU25;P26368-2,-5.151849214,2.987520974,-5.215124189,4.4514981257,8.4158533527,RNAbinding,x,x,x,,,,50,
950,I,IPI00296337,NP_008835 ,PRKDC,P78527-1;P78527;P78527-2;B4DL41,-4.839843946,3.112349841,-5.402260034,4.451484607,7.614580867,candidate mRNA binder,,,x,,,0,,
315,I,IPI00014474,NP_005849,AKAP8,O43823;B7Z8L8;Q8NE02;Q9UG73,-4.929764568,3.158191587,-5.264457027,4.450804394,7.7996339827,candidate mRNA binder,,,,,,20,,
1431,I,IPI00915356,NP_079087,CPSF7,Q8N684-1;Q8N684;B4DGF8;Q8N684-2,-4.798145361,3.09936254,-5.450462908,4.449323603,7.3815041562,RNAbinding,x,,,,,,20,
199,I,IPI00008570,NP_006549,KHDRBS3,O75525-1;O75525;O75525-2,-4.960339382,3.023734397,-5.356738554,4.4469374443,7.4361340113,RNAbinding,x,,,,,,,
149,I,IPI00006079,NP_055554,BCLAF1,Q9NYF8-1;Q9NYF8;Q6DCA8;Q9NYF8-2;Q9NYF8-4;B0AZU3,-5.43546379,2.624358287,-5.276317379,4.4453798187,7.8526285555,candidate mRNA binder,,x,,,,20,,
1083,I,IPI00797384,NP_443111,LARP4,Q71RC2-4;Q71RC2;Q6P4E2;Q71RC2-1;Q8TBL5;Q96J85;Q71RC2-3;Q8WVX5;Q71RC2-2;C9J564,-5.778095704,2.75623339,-4.800435066,4.4449213867,7.1546027366,RNAbinding,x,,,,,,,
201,I,IPI00008708,NP_056474,RSL1D1,O76021;A0PJ87;B4DJ58;Q32Q62;A0PJ61,-4.51114775,2.918691534,-5.899608966,4.4431494167,8.2726511218,ribosomal,,,x,,,,,
641,I,IPI00099871,NP_003767,MRPL40,Q9NQ50;C9J419,-5.907208023,2.307166193,-5.05865326,4.424342492,7.1086467563,ribosomal,,,,,,50,,
209,I,IPI00009057,NP_036429 ,G3BP2,Q9UN86-1;Q9UN86;Q9UN86-2;A8K6V7,-4.967272832,3.148299635,-5.151541505,4.422371324,7.7459971893,RNAbinding,x,,,,,,,
854,I,IPI00219306,NP_002361,MAGOH,P61326;B1ARP8,-5.671604682,2.745043669,-4.836501268,4.4177165397,6.0276981268,RNAbinding,x,x,,,,,50,
1246,I,IPI00550906,NP_056050,CSTF2T,Q9H0L4,-4.612249263,1.721153887,-6.919031321,4.417478157,6.0560959552,RNAbinding,x,,,,,,20,
943,I,IPI00294242,NP_005821,MRPS31,Q92665,-5.748010721,2.952464037,-4.517180623,4.405885127,7.2572061127,ribosomal,,,,,,50,,
1326,I,IPI00748303,NP_057191,ZFR,B5MEH6,-5.469513694,2.945720058,-4.79802495,4.4044195673,8.1408277217,RNAbinding,x,,,,,,,
1059,I,IPI00375652,NP_085130 ,CPEB4,Q17RY0-1;Q17RY0;Q17RY0-2;B7ZLQ8,-5.176837618,3.052694111,-4.952098715,4.3938768147,8.2810773121,RNAbinding,x,,,,,,,
1192,I,IPI00465176,NP_653307,C2orf15,Q8TCC3-2;Q8TCC3;Q8TCC3-1;Q8TCC3-3;B8ZZA6;B8ZZV5,-4.239934085,2.72049737,-6.21464196,4.3916911383,5.1567675848,ribosomal,,,,,,,,
264,I,IPI00012340,NP_003760,SFRS9,Q13242;A8K3M9,-5.333399727,2.888129516,-4.951071933,4.3908670587,8.9218597036,RNAbinding,x,x,,,,,50,
427,I,IPI00022403,NP_054797,MRPL13,Q9BYD1,-6.065448776,1.87227718,-5.230749587,4.3894918477,5.6296179034,ribosomal,,,,,,50,,
375,I,IPI00019318,NP_079539,PRR3,B2RE77;P79522-1;P79522;Q96QB9;P79522-2;B3KQA4,-6.033723113,2.612564818,-4.513057079,4.3864483367,6.6241018761,RNAbinding,x,,,,,20,,
949,I,IPI00844047,NP_699198,ZCCHC24,A6NFU7;Q8N2G6;B4E196,-5.78348926,2.947703556,-4.42678061,4.385991142,6.915679147,candidate mRNA binder,,,,,,0,,
1262,I,IPI00555833,NP_057216,MYEF2,Q9P2K5-1;Q9P2K5;Q9Y655,-5.311749803,2.755122589,-5.0805516,4.382474664,7.7030795697,RNAbinding,x,,,,,,,
222,I,IPI00009922,NP_112487,SLIRP,Q9GZT3,-5.800354664,2.857065339,-4.488463142,4.3819610483,8.1583515249,RNAbinding,x,,,,,,,
333,I,IPI00016249,NP_005078 ,FXR1,P51114-1;P51114;B4DXZ6;C9JLJ3;P51114-2;C9JK72;B4DGH9;B4DM21;P51114-3,-5.212447177,2.895981149,-5.030465984,4.3796314367,7.8217807751,RNAbinding,x,,,,,,,
259,I,IPI00012066,NP_005007,PCBP2,A8K7X6,-6.364800973,2.913913825,-3.854147802,4.3776208667,9.3464088646,RNAbinding,x,x,x,,,,20,
283,I,IPI00013174,NP_006319,RBM14,Q96PK6-1;Q96PK6,-5.087990964,3.075002005,-4.95303685,4.3720099397,8.6325273717,RNAbinding,x,,,,,,,
1409,I,IPI00885108,NP_689929,PATL1,Q86TB9-1;Q86TB9;B3KXN0;B3KXT9;Q86TB9-2;B7Z1D3,-5.105665705,2.767379368,-5.216196386,4.3630804863,7.1798554174,RNAbinding,x,,,,,,,
420,I,IPI00022095,NP_001171890 ,PEG10,Q86TG7-1;Q86TG7,-5.603665118,2.319271091,-5.152259595,4.3583986013,7.8048228059,candidate mRNA binder,,,,,,20,,
1337,I,IPI00783302,NP_060422,PTCD3,Q96EY7-1;Q96EY7;B2RDU4,-5.221623189,2.850499414,-4.980648217,4.3509236067,8.1506657179,candidate mRNA binder,,,,,,20,,
552,I,IPI00029744,NP_003134  ,SSBP1,Q04837;A4D1U3;Q567R6;B7Z268;C9K0U8,-5.357448134,2.432157687,-5.244849203,4.3448183413,7.9676490502,RNAbinding,x,,,,,20,,
638,I,IPI00083708,NP_055987,PRRC2C,Q9Y520-7;Q9Y520;Q9Y520-1;Q9Y520-5;Q9Y520-6;Q9Y520-2,-5.30563147,2.830295894,-4.884529885,4.3401524163,7.3963588756,candidate mRNA binder,,,x,,,0,,
268,I,IPI00012382,NP_004587,SNRPA,P09012;B2R802,-5.820922142,2.84213408,-4.346958332,4.336671518,7.4776643399,RNAbinding,x,x,x,,,,50,
1451,I,IPI00940237,NP_005795,DDX39,O00148;Q69YT6;B4DX78;Q8N5M0;B1Q2N1,-5.753292763,2.719555842,-4.521117218,4.331321941,7.0093454965,helicase,x,,,,,80,50,20
696,I,IPI00165981,NP_066363,ZNFX1,Q9P2E3-1;Q9P2E3;Q6P6B6;Q5JXR6;Q9P2E3-2;Q5JXR5;Q6PJM4;Q5JXR7,-5.310604216,2.522482667,-5.160698238,4.331261707,6.2368427509,candidate mRNA binder,,,,,,0,,
598,I,IPI00032827,NP_057131,SF3B14,Q9Y3B4;Q53TM1,-5.934389088,2.543075139,-4.515232841,4.3308990227,6.9696261355,RNAbinding,x,x,x,,,,50,
266,I,IPI00012345,NP_006266,SFRS6,Q13247-1;Q13247;A8K588;Q13247-3;Q59GY3,-5.585539694,2.631919134,-4.739892423,4.3191170837,8.6196728731,RNAbinding,x,x,x,,,,80,
278,I,IPI00030654,NP_008938,CPSF6,Q16630-2;Q16630;Q16630-1;Q16630-3;C9JGC2,-5.097690205,3.006064588,-4.852458842,4.3187378783,7.9989757885,RNAbinding,x,,x,,,,,
674,I,IPI00152708,NP_115551,UTP15,Q8TED0;B4DU75;B4DXK8,-5.131224748,2.978415313,-4.839472154,4.3163707383,7.4145604738,candidate mRNA binder,,,x,,,50,,
425,I,IPI00795922,NP_054737,MRPS28,Q53G62;Q9Y2Q9,-5.692268395,2.97471285,-4.249973262,4.3056515023,6.3431734925,ribosomal,,,,,,50,,
212,I,IPI00009137,NP_006684 ,CPSF4,O95639-1;O95639;O95639-2;O95639-3;C9K0K2;C9JEV9;B7Z7B0,-5.60002177,2.949049284,-4.334592675,4.2945545763,7.732477563,RNAbinding,x,,,,,,,
1347,I,IPI00789041,NP_002678,PNN,Q9H307-1;Q9H307;A8K964;B4DTD4;B4E392;Q15789;Q9H307-2,-5.171420408,2.80467314,-4.903317141,4.2931368963,7.975053941,candidate mRNA binder,,x,,,,80,20,
751,I,IPI00180454,NP_057121,UTP11L,Q9Y3A2;B4DJC6,-5.375002643,3.101246657,-4.3907443,4.2889978667,7.14918303,RNAbinding,,,x,,,,,
1269,I,IPI00604620,NP_005372,NCL,P19338;B3KM80;B3KTP9;Q6ZS99;C9JWL1;Q9BQ02,-4.880699606,2.966818038,-4.993551161,4.2803562683,9.2160000042,RNAbinding,x,,x,,,,,
652,I,IPI00102991,NP_058520,RBMS1,B4DN88;Q5CZ65;Q5CZ66;Q9UEK5;P29558-2;P29558,-4.642738534,3.1240303,-5.030513137,4.265760657,7.2096943408,RNAbinding,x,,,,,,20,
1053,I,IPI00373877,NP_892021 ,ZNF326,Q5BKZ1-1;Q5BKZ1;A8MYX1;B4E179,-4.850834302,3.075874867,-4.859729158,4.262146109,8.3051021541,RNAbinding,,,x,,,20,,
143,I,IPI00005792,NP_004634,PABPN1,Q86U42-1;Q86U42;Q86U42-2;B4DEH8,-4.348250701,2.896659358,-5.540929363,4.261946474,8.2517857987,RNAbinding,x,x,,Oculopharyngeal muscular dystrophy,164300,,50,
754,I,IPI00180954,NP_001271,CIRBP,Q14011;Q53XX5;B4E2A3;Q6ZR81,-5.16856374,3.060427901,-4.552901165,4.2606309353,8.2330820621,RNAbinding,x,,,,,,,20
135,I,IPI00005613,NP_006749,U2AF1,Q01081;B5BU08;Q7Z780;Q69YM7;Q701P4,-5.243263614,2.770131311,-4.738235725,4.25054355,8.1311426255,RNAbinding,x,x,x,,,,20,
121,I,IPI00004459,NP_055288,DIMT1L,Q9UNQ2;A8K9K8;B4DRY2,-4.507303847,2.461135615,-5.749407028,4.2392821633,6.6650300351,RNAmod,x,,x,,,,,
953,I,IPI00297455,NP_055186,AKAP8L,Q9ULX6;B5BU90;B3KMD4;B4DJ74;Q9UF73,-4.906515544,2.760838352,-5.04673029,4.238028062,7.7284170391,helicase,,,,,,20,,
1077,I,IPI00386120,NP_004621,SF1,Q15637-6;Q15637;Q15637-2;Q15637-1;B4DJU4;B7Z1Q1;Q15637-3;Q15637-4;B4DSE4;B4DX42;Q14821,-5.155752557,2.873222616,-4.678903137,4.2359594367,7.7630304192,RNAbinding,x,,,,,,20,
711,I,IPI00169342,NP_001092104,RBM47,A0AV96-1;A0AV96;B7Z8Z7;B7ZLP7;A0AV96-2,-5.162712274,2.546980865,-4.990566828,4.233419989,7.9942144704,RNAbinding,x,,,,,,20,
82,I,IPI00001757,NP_005096,RBM8A,Q9Y5S9-1;Q9Y5S9;Q9Y5S9-2,-6.055627281,2.108223341,-4.523636978,4.2291625333,7.0487121823,RNAbinding,x,x,x,,,,,
134,I,IPI00880117,NP_004891,APOBEC3B,B0QYD3;Q9UH17-1;Q9UH17;B0QYD2;Q20WL1;Q9UH17-2,-5.10511939,2.284366066,-5.286867298,4.225450918,6.9048306517,RNAbinding,x,,,,,,,
286,I,IPI00902991,NP_001316,CSTF2,B3V096;P33240-1;P33240;P33240-2;B4DUD5,-4.940268176,2.83084348,-4.869691138,4.2136009313,7.4467649204,RNAbinding,x,,,,,,50,
938,I,IPI00293434,NP_003125,SRP14,P37108,-6.044633627,1.87026607,-4.721506086,4.212135261,8.0064373125,RNAbinding,x,,x,,,,,
153,I,IPI00791086,NP_003744,EIF3D,A8MWD3;O15371;B4DTF8;B4DVY1;B4E1K8;B0QYA5,-4.853584595,2.965802751,-4.813032987,4.2108067777,7.7242697998,translationfactor,x,,,,,,,
1357,I,IPI00790901,NP_057710,MEX3C,Q5U5Q3;A8E632;B2R538;B3KTW5,-5.523968853,2.561472782,-4.528190325,4.2045439867,7.6061119692,RNAbinding,x,,,,,,,
1395,I,IPI00855912,NP_510965  ,PUF60,Q9UHX1-6;Q9UHX1;Q9UHX1-2;Q9UHX1-5;Q9UHX1-4;Q9UHX1-1;Q9UHX1-3,-5.485971692,2.734070087,-4.380190743,4.2000775073,7.4724364597,RNAbinding,x,,,,,,20,
937,I,IPI00293350,NP_005990,TSNAX,Q99598;B1APC6;C4P0D8;C4P0D4;C4P0D6;Q5VVQ1;Q9NRI2,-5.493751489,2.10832372,-4.998154531,4.20007658,6.8821441503,RNAbinding,x,,,,,20,,
563,I,IPI00030320,NP_004388,DDX6,P26196;B2R858;Q8IV96,-5.249781124,2.801262146,-4.547324447,4.1994559057,7.3240878118,helicase,x,,,,,,,20
523,I,IPI00914048,NP_001129107,C11orf68,Q9H3H3,-4.05968739,2.750820857,-5.78452268,4.1983436423,6.1375889547,candidate mRNA binder,,,,,,50,,
889,I,IPI00235647,NP_001136113,FBLL1,A6NHQ2,-5.211163973,2.370973302,-4.994792624,4.1923099663,7.1920898292,RNAbinding,x,,,,,80,80,20
649,I,IPI00102752,NP_073605,RBM15,Q96T37-1;Q96T37;A1A693;Q3ZB86;Q59EY1;Q96T37-3;Q4V760;Q86VW9;Q96T37-2,-4.813600866,2.968643756,-4.790579076,4.1909412327,7.5008139162,RNAbinding,x,,,"Megakaryoblastic leukemia, acute",606077,,,
230,I,IPI00792057,NP_001028260 ,NGRN,Q9NPE2-2;Q9NPE2;Q9NPE2-1,-5.026839878,2.58171278,-4.96231697,4.190289876,5.5559792447,candidate mRNA binder,,,,,,0,,
1047,I,IPI00335589,NP_060616,RNMTL1,Q9HC36,-7.047436217,1.981596963,-3.541030118,4.1900210993,5.3036297032,RNAbinding,x,,,,,,,
1460,I,IPI00942186,NP_003479,AKAP1,Q92667-1;Q92667;B4DN86;Q92667-2,-4.935978057,3.021177654,-4.560268365,4.172474692,6.5704780762,RNAbinding,x,,,,,,,
84,I,IPI00002349,NP_065823,NUFIP2,Q7Z417;A1L3A7,-4.590849148,2.721438285,-5.201629245,4.1713055593,7.4591360577,RNAbinding,x,,,,,,20,
250,I,IPI00011550,NP_149080,ZCCHC3,Q9NUD5;Q3B7J3,-5.169082713,2.793771059,-4.541601196,4.168151656,7.7221901186,candidate mRNA binder,,,,,,20,,
422,I,IPI00022184,NP_056132,PUM2,Q8TB72-3;Q8TB72;B4E2B6,-4.855253995,2.653014144,-4.993964863,4.1674110007,7.6456192059,RNAbinding,x,,,,,,20,
1332,I,IPI00782974,NP_001107590 ,C17orf85,Q53F19-1;Q53F19;Q53F19-2,-4.524035238,2.963733046,-5.010704013,4.1661574323,7.1943807723,candidate mRNA binder,,x,,,,20,,
885,I,IPI00843759,NP_060268,YTHDF1,A6NMJ5;B3KTL8;Q9BYJ9-1;Q9BYJ9;B4DT65,-6.031550877,2.49015934,-3.962182048,4.1612974217,7.0946640111,RNAbinding,x,,,,,20,,
372,I,IPI00019046,NP_060517,RBM22,Q9NW64-1;Q9NW64;Q9NW64-2,-4.837284658,2.860049033,-4.780155566,4.1591630857,7.9866158312,RNAbinding,x,x,,,,,20,
1067,I,IPI00383949,NP_060548,LARP1B,Q659C4-1;Q659C4;Q659C4-2;Q659C4-9,-6.022988305,1.992442156,-4.442818347,4.1527496027,5.9077327236,RNAbinding,x,,,,,,,
210,I,IPI00074587,NP_473357,SRSF10,O75494-1;O75494;B3KNY6;Q53GD7;O75494-2;O75494-3;B4DJP9;Q5JRI3;O75494-4;Q5JRI1,-5.226908385,2.824462381,-4.405803091,4.1523912857,8.6497780653,RNAbinding,x,x,,,,,50,
635,I,IPI00073779,NP_068593,MRPS35,P82673-1;P82673;C9JQV1;P82673-2,-5.521050968,2.16066208,-4.774971917,4.1522283217,7.0934918793,ribosomal,,,,,,50,,
608,I,IPI00034015,NP_001020767,CELF1,Q92879-1;Q92879;B4E2U5;Q92879-3;Q92879-2,-5.010936582,2.774755439,-4.667345909,4.1510126433,7.748783898,RNAbinding,x,,,,,,,
595,I,IPI00032635,NP_653304,LSM14B,Q9BX40-1;Q9BX40,-5.502881262,2.656359073,-4.290674069,4.149971468,6.0945388181,RNAbinding,x,,,,,50,20,
72,I,IPI00001007,NP_002433,MSI1,O43347;B3KN16,-4.659558507,2.617580599,-5.168304323,4.148481143,8.3906514431,RNAbinding,x,,,,,,,
448,I,IPI00023359,NP_775738  ,MCAT,Q8IVS2-1;Q8IVS2,-5.195325208,2.076148597,-5.158635477,4.1433697607,6.8861993887,metabolicEnz,,,,,,0,,
658,I,IPI00104050,NP_005110,THRAP3,Q9Y2W1;Q05D20;Q6P0P7;Q6PJV4;Q7Z5U1,-5.464026699,2.659559273,-4.299766269,4.1411174137,8.1991504824,RNAbinding,,,,,,20,,
438,I,IPI00022963,NP_056299 ,SYF2,O95926;B2RBX8;B4E0Y8,-5.692790665,2.326077085,-4.403083935,4.1406505617,5.9117147222,candidate mRNA binder,,x,,,,80,50,
946,I,IPI00294955,NP_036453,LSM4,Q9Y4Z0,-5.785159,1.807396141,-4.821452342,4.1380024943,6.7918373238,RNAbinding,x,x,,,,,,
639,I,IPI00099131,NP_060060,ZC3H7B,Q9UGR2-1;Q9UGR2;Q9UGR2-2,-5.195695272,2.552967211,-4.642738534,4.1304670057,7.4468477102,candidate mRNA binder,,,,,,20,,
1025,I,IPI00328306,NP_055642,ZC3H11A,O75152;B4DLG2;Q0D2N5,-4.635405157,3.007016051,-4.746770693,4.1297306337,7.8033727625,candidate mRNA binder,,,,,,20,,
1221,I,IPI00479262,NP_001181875 ,EIF4G1,Q04637-3;Q04637;Q04637-5;B4DSI9;Q04637-6;Q04637-1;Q96I65,-4.544527317,2.582218773,-5.204871436,4.1105391753,7.2187541466,translationfactor,x,,,Parkinson disease 18,614251,50,,
901,I,IPI00289491,NP_031385,CASC3,O15234;B4DKR6,-5.116936039,2.750263476,-4.459925105,4.10904154,7.4323652391,RNAbinding,x,,,,,,50,
1284,I,IPI00642862,NP_624311,PPIL4,Q8WUA2;B3KRR4;Q32Q83;Q6P392;Q96AL2;Q9H287;Q9P1R3,-6.17490801,2.389704467,-3.755336972,4.1066498163,6.1228483516,RNAbinding,x,,,,,,,
58,I,IPI00000001,NP_001032405,STAU1,O95793-1;O95793;A8K622;Q59F99;O95793-2;B3KRE0;B4DPJ9;Q5JW30;Q5JW29,-4.630679817,2.866532176,-4.791617589,4.0962765273,7.7796261957,RNAbinding,x,,,,,,,
1288,I,IPI00643285,NP_001170853,CPEB2,Q7Z5Q1-6;Q7Z5Q1;Q7Z5Q1-5,-5.811897901,2.752984027,-3.713024252,4.0926353933,6.5902955594,RNAbinding,x,,,,,,20,
643,I,IPI00100151,NP_036387,XRN2,Q9H0D6-1;Q9H0D6;B3KMC9;B4DZC3;B4E0B9;Q9H0D6-2,-4.998246749,2.713849753,-4.556630988,4.08957583,7.8263764465,nuclease,x,,x,,,50,,
1330,I,IPI00760837,NP_775882 ,FAM98B,A8MUW5;Q52LJ0,-5.437838186,2.737059366,-4.07604306,4.0836468707,7.6607604815,candidate mRNA binder,,,x,,,0,,
819,I,IPI00217553,NP_115866,MRPL41,Q8IXM3,-6.068834364,1.994796927,-4.172122456,4.0785845823,6.2360223383,ribosomal,,,,,,50,,
773,I,IPI00187080,NP_031368,NUPL2,O15504-1;O15504;B2R7I1;Q3B7J4;C9JYA1;O15504-2;C9JCH0;B4DT96,-4.024255371,2.255440305,-5.955362479,4.0783527183,5.7784716828,RNAbinding,x,,,,,20,,
932,I,IPI00292975,NP_061862,RBM27,Q9P2N5;B3KY61;Q05DK9,-4.442692849,3.167855655,-4.621950113,4.077499539,7.2907230607,RNAbinding,x,,x,,,,20,
447,I,IPI00023334,NP_057040,MRPL4,Q9BYD3-1;Q9BYD3;Q9BYD3-2,-4.738235725,2.602480635,-4.890679562,4.077131974,7.1079871962,ribosomal,,,,,,50,,
1349,I,IPI00789303,NP_694453,RBM45,Q8IUH3-3;Q8IUH3;Q8IUH3-1;Q8IUH3-2,-5.823697655,2.46296844,-3.940777645,4.07581458,7.0193558014,RNAbinding,x,,,,,,,
1302,I,IPI00646917,NP_008937,NUDT21,O43809;B2R6U8,-5.794817713,2.382833229,-4.04606284,4.0745712607,7.2577758737,RNAbinding,x,,,,,,,
1235,I,IPI00549381,NP_064621 ,MRPL1,Q9BYD6;A0PJ79,-5.187733446,2.695325744,-4.334680002,4.0725797307,7.2714764998,ribosomal,,,,,,,,
765,I,IPI00183500,NP_031388,NCBP2,P52298-1;P52298;B4DJM2;P52298-2;B3KSB0;C9JQX9,-3.857970896,3.019630756,-5.335029365,4.0708770057,5.9010267187,RNAbinding,x,x,,,,,,
713,I,IPI00169400,NP_114108,MRPS5,P82675-1;P82675,-5.556732846,2.444746567,-4.178508552,4.0599959883,7.5369865742,ribosomal,,,,,,,,
769,I,IPI00185919,NP_056130,LARP1,Q6PKG0-1;Q6PKG0;Q6PKG0-2;Q6PKG0-3,-4.761917543,2.739070393,-4.67164145,4.0575431287,8.2091947974,RNAbinding,x,,,,,,,
391,I,IPI00020368,NP_056648,ADARB1,P78563-1;P78563;P78563-3;O43263;P78563-4;Q6P0M9;Q8NFA1;P78563-2;C9JUP4;Q4AE77,-3.768095782,2.006944264,-6.392530957,4.055857001,6.0217389457,RNAmod,x,,,,,,,
299,I,IPI00013735,NP_055744  ,FASTKD2,Q9NYY8-1;Q9NYY8;B3KMB8;Q9NYY8-2,-4.700534939,2.6332917,-4.826642266,4.053489635,7.7838860859,candidate mRNA binder,,,,Mitochondrial complex IV deficiency,220110,0,,
146,I,IPI00005978,NP_003007,SFRS2,Q01130;B3KUY1;B3KWD5;Q53FN0;B4DN89;B3KVY2;Q8NAK9;B3KUF7;Q6NXQ0;Q8N220;B3KX15,-5.0151759,2.620257955,-4.520653531,4.0520291287,8.7024955504,RNAbinding,x,x,,,,,50,
772,I,IPI00187011,NP_055983,ZC3H4,Q9UPT8,-4.583705019,1.897395338,-5.663172776,4.0480910443,6.9959604519,RNAbinding,x,,,,,20,,
