UNIQUE	ID	Name	Description	HEK293-RIC	HuH7-IC	HeLa-RNPxl	HeLa-IC	HeLa-RBDmap	K562-serIC-chr	K562-serIC	Enzyme	Metabolism	"""Metabolic.Enzyme"""
DAZAP1	ENSG00000071626	DAZAP1	DAZ associated protein 1	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
DBI	ENSG00000155368	DBI	diazepam binding inhibitor, acyl-CoA binding protein	no	no	no	no	YES	no	no	FALSE	TRUE	FALSE
DBNL	ENSG00000136279	DBNL	drebrin like	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DBR1	ENSG00000138231	DBR1	debranching RNA lariats 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DBT	ENSG00000137992	DBT	dihydrolipoamide branched chain transacylase E2	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
DCAF13	ENSG00000164934	DCAF13	DDB1 and CUL4 associated factor 13	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
DCD	ENSG00000161634	DCD	dermcidin	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DCLRE1C	ENSG00000152457	DCLRE1C	DNA cross-link repair 1C	no	no	no	no	no	no	YES	FALSE	FALSE	FALSE
DCN	ENSG00000011465	DCN	decorin	no	no	no	YES	YES	no	no	FALSE	TRUE	FALSE
DCTN2	ENSG00000175203	DCTN2	dynactin subunit 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DDX1	ENSG00000079785	DDX1	DEAD-box helicase 1	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX10	ENSG00000178105	DDX10	DEAD-box helicase 10	YES	YES	no	YES	no	no	YES	TRUE	FALSE	FALSE
DDX17	ENSG00000100201	DDX17	DEAD-box helicase 17	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX18	ENSG00000088205	DDX18	DEAD-box helicase 18	YES	YES	no	YES	no	YES	YES	TRUE	FALSE	FALSE
DDX19A	ENSG00000168872	DDX19A	DEAD-box helicase 19A	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
DDX21	ENSG00000165732	DDX21	DExD-box helicase 21	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX23	ENSG00000174243	DDX23	DEAD-box helicase 23	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DDX24	ENSG00000273761;ENSG00000089737	DDX24	DEAD-box helicase 24	YES	YES	no	YES	no	YES	YES	TRUE	FALSE	FALSE
DDX27	ENSG00000124228	DDX27	DEAD-box helicase 27	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX28	ENSG00000182810	DDX28	DEAD-box helicase 28	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX31	ENSG00000125485	DDX31	DEAD-box helicase 31	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX39A	ENSG00000123136	DDX39A	DExD-box helicase 39A	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX39B	ENSG00000225859;ENSG00000215425;ENSG00000198563;ENSG00000235439;ENSG00000230624;ENSG00000225073;ENSG00000229496;ENSG00000237889	DDX39B	DExD-box helicase 39B	YES	no	no	YES	no	YES	YES	TRUE	FALSE	FALSE
DDX3X	ENSG00000215301	DDX3X	DEAD-box helicase 3, X-linked	YES	no	no	YES	no	no	YES	TRUE	FALSE	FALSE
DDX41	ENSG00000183258	DDX41	DEAD-box helicase 41	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX42	ENSG00000198231	DDX42	DEAD-box helicase 42	YES	YES	no	no	no	no	YES	TRUE	FALSE	FALSE
DDX43	ENSG00000080007	DDX43	DEAD-box helicase 43	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
DDX46	ENSG00000145833	DDX46	DEAD-box helicase 46	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DDX47	ENSG00000213782	DDX47	DEAD-box helicase 47	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX49	ENSG00000105671	DDX49	DEAD-box helicase 49	no	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX5	ENSG00000108654	DDX5	DEAD-box helicase 5	YES	YES	no	YES	YES	no	no	TRUE	FALSE	FALSE
DDX50	ENSG00000107625	DDX50	DExD-box helicase 50	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX51	ENSG00000185163	DDX51	DEAD-box helicase 51	YES	YES	no	YES	no	no	YES	TRUE	FALSE	FALSE
DDX52	ENSG00000278053;ENSG00000277594	DDX52	DExD-box helicase 52	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DDX54	ENSG00000123064	DDX54	DEAD-box helicase 54	YES	no	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX55	ENSG00000111364	DDX55	DEAD-box helicase 55	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX56	ENSG00000136271	DDX56	DEAD-box helicase 56	no	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DDX6	ENSG00000110367	DDX6	DEAD-box helicase 6	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DDX60L	ENSG00000181381	DDX60L	DEAD-box helicase 60-like	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
DEK	ENSG00000124795	DEK	DEK proto-oncogene	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
DHCR7	ENSG00000172893	DHCR7	7-dehydrocholesterol reductase	no	YES	no	no	no	no	no	TRUE	TRUE	TRUE
DHX15	ENSG00000109606	DHX15	DEAH-box helicase 15	YES	YES	YES	YES	YES	YES	YES	TRUE	FALSE	FALSE
DHX16	ENSG00000233561;ENSG00000206486;ENSG00000227222;ENSG00000226171;ENSG00000233049;ENSG00000204560;ENSG00000233418;ENSG00000231377	DHX16	DEAH-box helicase 16	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DHX29	ENSG00000067248	DHX29	DExH-box helicase 29	YES	YES	no	no	no	no	no	TRUE	FALSE	FALSE
DHX30	ENSG00000132153	DHX30	DExH-box helicase 30	YES	no	no	YES	YES	YES	no	TRUE	FALSE	FALSE
DHX33	ENSG00000005100	DHX33	DEAH-box helicase 33	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DHX34	ENSG00000134815	DHX34	DExH-box helicase 34	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DHX36	ENSG00000281763;ENSG00000174953	DHX36	DEAH-box helicase 36	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DHX38	ENSG00000140829	DHX38	DEAH-box helicase 38	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DHX57	ENSG00000163214	DHX57	DExH-box helicase 57	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DHX8	ENSG00000067596	DHX8	DEAH-box helicase 8	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DHX9	ENSG00000135829	DHX9	DExH-box helicase 9	YES	YES	no	YES	YES	YES	YES	TRUE	FALSE	FALSE
DIAPH1	ENSG00000131504	DIAPH1	diaphanous related formin 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DIDO1	ENSG00000101191	DIDO1	death inducer-obliterator 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
DIEXF	ENSG00000117597	DIEXF	digestive organ expansion factor homolog (zebrafish)	no	no	no	YES	no	no	YES	FALSE	FALSE	FALSE
DIMT1	ENSG00000086189	DIMT1	DIM1 dimethyladenosine transferase 1 homolog	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
DKC1	ENSG00000130826	DKC1	dyskerin pseudouridine synthase 1	no	no	YES	YES	no	YES	no	FALSE	FALSE	FALSE
DLAT	ENSG00000150768	DLAT	dihydrolipoamide S-acetyltransferase	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
DLD	ENSG00000091140	DLD	dihydrolipoamide dehydrogenase	no	YES	no	no	YES	no	no	TRUE	TRUE	TRUE
DMGDH	ENSG00000132837	DMGDH	dimethylglycine dehydrogenase	no	no	no	YES	no	no	no	TRUE	TRUE	TRUE
DNAJA1	ENSG00000086061	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DNAJB12	ENSG00000148719	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DNAJC1	ENSG00000136770	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DNAJC2	ENSG00000105821	DNAJC2	DnaJ heat shock protein family (Hsp40) member C2	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DNAJC21	ENSG00000168724	DNAJC21	DnaJ heat shock protein family (Hsp40) member C21	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DNM1	ENSG00000106976	DNM1	dynamin 1	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DNTTIP2	ENSG00000067334	DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
DROSHA	ENSG00000113360	DROSHA	drosha ribonuclease III	YES	no	no	YES	no	no	no	TRUE	FALSE	FALSE
DSP	ENSG00000096696	DSP	desmoplakin	no	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
DST	ENSG00000151914	DST	dystonin	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DUS3L	ENSG00000141994	DUS3L	dihydrouridine synthase 3 like	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
DUSP11	ENSG00000144048	DUSP11	dual specificity phosphatase 11	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
DUSP14	ENSG00000275932;ENSG00000276023	DUSP14	dual specificity phosphatase 14	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
DUSP9	ENSG00000130829	DUSP9	dual specificity phosphatase 9	no	YES	no	no	no	no	no	TRUE	FALSE	FALSE
DUT	ENSG00000128951	DUT	deoxyuridine triphosphatase	no	no	no	YES	no	no	no	TRUE	TRUE	TRUE
DYNC1H1	ENSG00000197102	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DYNC1I2	ENSG00000077380	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
DYNC1LI1	ENSG00000144635	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
DYNC2H1	ENSG00000187240	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
DZIP3	ENSG00000198919	DZIP3	DAZ interacting zinc finger protein 3	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
EBNA1BP2	ENSG00000117395	EBNA1BP2	EBNA1 binding protein 2	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
EBP	ENSG00000147155	EBP	emopamil binding protein (sterol isomerase)	no	YES	no	no	no	no	no	TRUE	TRUE	TRUE
EDC4	ENSG00000038358	EDC4	enhancer of mRNA decapping 4	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EDF1	ENSG00000107223	EDF1	endothelial differentiation related factor 1	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EEF1A1	ENSG00000156508	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EEF1G	ENSG00000254772	EEF1G	eukaryotic translation elongation factor 1 gamma	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EEF2	ENSG00000167658	EEF2	eukaryotic translation elongation factor 2	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EFTUD2	ENSG00000108883	EFTUD2	elongation factor Tu GTP binding domain containing 2	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF1	ENSG00000173812	EIF1	eukaryotic translation initiation factor 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
EIF1AX	ENSG00000173674	EIF1AX	eukaryotic translation initiation factor 1A, X-linked	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF1B	ENSG00000114784	EIF1B	eukaryotic translation initiation factor 1B	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF2AK2	ENSG00000055332	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
EIF2D	ENSG00000143486	EIF2D	eukaryotic translation initiation factor 2D	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF2S1	ENSG00000134001	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF2S2	ENSG00000125977	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EIF3A	ENSG00000107581	EIF3A	eukaryotic translation initiation factor 3 subunit A	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF3B	ENSG00000106263	EIF3B	eukaryotic translation initiation factor 3 subunit B	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF3C	ENSG00000184110	EIF3C	eukaryotic translation initiation factor 3 subunit C	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF3D	ENSG00000100353	EIF3D	eukaryotic translation initiation factor 3 subunit D	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF3E	ENSG00000104408	EIF3E	eukaryotic translation initiation factor 3 subunit E	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF3G	ENSG00000130811	EIF3G	eukaryotic translation initiation factor 3 subunit G	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EIF3H	ENSG00000147677	EIF3H	eukaryotic translation initiation factor 3 subunit H	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF3I	ENSG00000084623	EIF3I	eukaryotic translation initiation factor 3 subunit I	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EIF3J	ENSG00000104131	EIF3J	eukaryotic translation initiation factor 3 subunit J	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF3L	ENSG00000100129	EIF3L	eukaryotic translation initiation factor 3 subunit L	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF4A1	ENSG00000161960	EIF4A1	eukaryotic translation initiation factor 4A1	YES	YES	no	YES	YES	no	no	TRUE	FALSE	FALSE
EIF4A2	ENSG00000156976	EIF4A2	eukaryotic translation initiation factor 4A2	YES	YES	no	YES	YES	no	no	TRUE	FALSE	FALSE
EIF4A3	ENSG00000141543	EIF4A3	eukaryotic translation initiation factor 4A3	YES	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
EIF4B	ENSG00000063046	EIF4B	eukaryotic translation initiation factor 4B	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
EIF4E	ENSG00000151247	EIF4E	eukaryotic translation initiation factor 4E	YES	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
EIF4E2	ENSG00000135930	EIF4E2	eukaryotic translation initiation factor 4E family member 2	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
EIF4ENIF1	ENSG00000184708	EIF4ENIF1	eukaryotic translation initiation factor 4E nuclear import factor 1	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF4G1	ENSG00000114867	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EIF4G2	ENSG00000110321	EIF4G2	eukaryotic translation initiation factor 4 gamma 2	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
EIF4G3	ENSG00000075151	EIF4G3	eukaryotic translation initiation factor 4 gamma 3	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EIF4H	ENSG00000106682	EIF4H	eukaryotic translation initiation factor 4H	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
EIF5	ENSG00000100664	EIF5	eukaryotic translation initiation factor 5	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EIF5A	ENSG00000132507	EIF5A	eukaryotic translation initiation factor 5A	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
EIF5B	ENSG00000158417	EIF5B	eukaryotic translation initiation factor 5B	YES	YES	no	YES	YES	no	no	TRUE	FALSE	FALSE
ELAC2	ENSG00000006744	ELAC2	elaC ribonuclease Z 2	YES	YES	no	YES	YES	no	no	TRUE	FALSE	FALSE
ELAVL1	ENSG00000066044	ELAVL1	ELAV like RNA binding protein 1	YES	YES	YES	YES	YES	YES	YES	FALSE	FALSE	FALSE
ELAVL2	ENSG00000107105	ELAVL2	ELAV like RNA binding protein 2	YES	no	no	YES	YES	no	no	FALSE	FALSE	FALSE
ELAVL3	ENSG00000196361	ELAVL3	ELAV like RNA binding protein 3	no	no	no	no	no	YES	YES	FALSE	FALSE	FALSE
ELOF1	ENSG00000130165	ELOF1	elongation factor 1 homolog	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EMG1	ENSG00000126749	EMG1	EMG1, N1-specific pseudouridine methyltransferase	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EML4	ENSG00000143924	EML4	echinoderm microtubule associated protein like 4	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ENO1	ENSG00000074800	ENO1	enolase 1	no	YES	no	YES	YES	no	no	TRUE	TRUE	TRUE
ENSA	ENSG00000143420	ENSA	endosulfine alpha	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EPB41	ENSG00000159023	EPB41	erythrocyte membrane protein band 4.1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EPB41L2	ENSG00000079819	EPB41L2	erythrocyte membrane protein band 4.1 like 2	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EPPK1	ENSG00000261150	EPPK1	epiplakin 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
EPRS	ENSG00000136628	EPRS	glutamyl-prolyl-tRNA synthetase	no	no	no	no	YES	no	no	TRUE	TRUE	TRUE
EPS8L3	ENSG00000198758	EPS8L3	EPS8 like 3	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
ERAL1	ENSG00000132591	ERAL1	Era like 12S mitochondrial rRNA chaperone 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ERH	ENSG00000100632	ERH	enhancer of rudimentary homolog (Drosophila)	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
ERI3	ENSG00000117419	ERI3	ERI1 exoribonuclease family member 3	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ERP29	ENSG00000089248	ERP29	endoplasmic reticulum protein 29	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
ESF1	ENSG00000089048	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
ESRP2	ENSG00000103067	ESRP2	epithelial splicing regulatory protein 2	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
ETF1	ENSG00000120705	ETF1	eukaryotic translation termination factor 1	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
EWSR1	ENSG00000182944	EWSR1	EWS RNA binding protein 1	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
EXOSC10	ENSG00000171824	EXOSC10	exosome component 10	YES	no	no	YES	no	no	YES	FALSE	FALSE	FALSE
EXOSC2	ENSG00000130713	EXOSC2	exosome component 2	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
EXOSC6	ENSG00000223496	EXOSC6	exosome component 6	YES	no	no	no	YES	no	no	FALSE	FALSE	FALSE
EXOSC9	ENSG00000123737	EXOSC9	exosome component 9	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
EZR	ENSG00000092820	EZR	ezrin	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
F11R	ENSG00000158769	F11R	F11 receptor	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
FADS2	ENSG00000134824	FADS2	fatty acid desaturase 2	no	YES	no	no	no	no	no	TRUE	TRUE	TRUE
FAM103A1	ENSG00000169612	FAM103A1	family with sequence similarity 103 member A1	YES	no	no	no	no	YES	YES	FALSE	FALSE	FALSE
FAM120A	ENSG00000048828	FAM120A	family with sequence similarity 120A	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
FAM120C	ENSG00000184083	FAM120C	family with sequence similarity 120C	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
FAM133B	ENSG00000234545	FAM133B	family with sequence similarity 133 member B	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
FAM208A	ENSG00000163946	FAM208A	family with sequence similarity 208 member A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FAM32A	ENSG00000105058	FAM32A	family with sequence similarity 32 member A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FAM46A	ENSG00000112773	FAM46A	family with sequence similarity 46 member A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FAM50A	ENSG00000071859	FAM50A	family with sequence similarity 50 member A	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
FAM98A	ENSG00000119812	FAM98A	family with sequence similarity 98 member A	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
FAM98B	ENSG00000171262	FAM98B	family with sequence similarity 98 member B	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
FARSA	ENSG00000179115	FARSA	phenylalanyl-tRNA synthetase alpha subunit	YES	no	no	no	no	no	no	TRUE	FALSE	FALSE
FARSB	ENSG00000116120	FARSB	phenylalanyl-tRNA synthetase beta subunit	no	YES	no	no	YES	no	no	TRUE	FALSE	FALSE
FASN	ENSG00000169710	FASN	fatty acid synthase	YES	YES	no	YES	no	no	no	TRUE	TRUE	TRUE
FASTKD1	ENSG00000138399	FASTKD1	FAST kinase domains 1	YES	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
FASTKD2	ENSG00000118246	FASTKD2	FAST kinase domains 2	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
FASTKD3	ENSG00000124279	FASTKD3	FAST kinase domains 3	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FASTKD5	ENSG00000215251	FASTKD5	FAST kinase domains 5	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
FAU	ENSG00000149806	FAU	FAU, ubiquitin like and ribosomal protein S30 fusion	YES	YES	no	no	no	no	no	FALSE	TRUE	FALSE
FBL	ENSG00000280548;ENSG00000105202	FBL	fibrillarin	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
FBN1	ENSG00000166147	FBN1	fibrillin 1	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
FBRSL1	ENSG00000112787	FBRSL1	fibrosin like 1	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
FCF1	ENSG00000119616	FCF1	FCF1 rRNA-processing protein	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FDPS	ENSG00000160752	FDPS	farnesyl diphosphate synthase	no	no	no	YES	no	no	no	TRUE	TRUE	TRUE
FEN1	ENSG00000168496	FEN1	flap structure-specific endonuclease 1	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
FGFR1OP	ENSG00000213066	FGFR1OP	FGFR1 oncogene partner	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
FIP1L1	ENSG00000145216	FIP1L1	factor interacting with PAPOLA and CPSF1	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
FKBP1A	ENSG00000088832	FKBP1A	FK506 binding protein 1A	no	no	no	no	YES	no	no	TRUE	FALSE	FALSE
FKBP2	ENSG00000173486	FKBP2	FK506 binding protein 2	no	no	no	no	YES	no	no	TRUE	FALSE	FALSE
FKBP3	ENSG00000100442	FKBP3	FK506 binding protein 3	no	no	no	YES	YES	no	no	TRUE	FALSE	FALSE
FKBP4	ENSG00000004478	FKBP4	FK506 binding protein 4	no	no	no	YES	no	no	no	TRUE	FALSE	FALSE
FLNA	ENSG00000196924	FLNA	filamin A	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
FLNB	ENSG00000136068	FLNB	filamin B	YES	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
FLYWCH2	ENSG00000162076	FLYWCH2	FLYWCH family member 2	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FMR1	ENSG00000102081	FMR1	fragile X mental retardation 1	YES	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FN1	ENSG00000115414	FN1	fibronectin 1	no	YES	no	no	no	no	no	FALSE	FALSE	FALSE
FNDC3A	ENSG00000102531	FNDC3A	fibronectin type III domain containing 3A	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FNDC3B	ENSG00000075420	FNDC3B	fibronectin type III domain containing 3B	no	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
FRG1	ENSG00000109536	FRG1	FSHD region gene 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FSCN1	ENSG00000075618	FSCN1	fascin actin-bundling protein 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
FTSJ3	ENSG00000108592	FTSJ3	FtsJ homolog 3	YES	YES	no	YES	no	YES	YES	FALSE	FALSE	FALSE
FUBP1	ENSG00000162613	FUBP1	far upstream element binding protein 1	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
FUBP3	ENSG00000107164	FUBP3	far upstream element binding protein 3	YES	YES	no	YES	YES	YES	YES	FALSE	FALSE	FALSE
FUS	ENSG00000089280	FUS	FUS RNA binding protein	YES	YES	YES	YES	YES	YES	YES	FALSE	FALSE	FALSE
FXR1	ENSG00000114416	FXR1	FMR1 autosomal homolog 1	YES	YES	no	YES	YES	no	YES	FALSE	FALSE	FALSE
FXR2	ENSG00000129245	FXR2	FMR1 autosomal homolog 2	YES	YES	no	YES	YES	no	no	FALSE	FALSE	FALSE
FYTTD1	ENSG00000122068	FYTTD1	forty-two-three domain containing 1	YES	YES	no	no	no	YES	YES	FALSE	FALSE	FALSE
G3BP1	ENSG00000145907	G3BP1	G3BP stress granule assembly factor 1	YES	YES	no	YES	YES	no	YES	TRUE	FALSE	FALSE
G3BP2	ENSG00000138757	G3BP2	G3BP stress granule assembly factor 2	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
GANAB	ENSG00000089597	GANAB	glucosidase II alpha subunit	no	YES	no	YES	no	no	no	TRUE	FALSE	FALSE
GAR1	ENSG00000109534	GAR1	GAR1 ribonucleoprotein	YES	YES	no	YES	no	no	YES	FALSE	FALSE	FALSE
GAS2	ENSG00000148935	GAS2	growth arrest specific 2	no	no	no	no	YES	no	no	FALSE	FALSE	FALSE
GCN1	ENSG00000089154	GCN1	GCN1, eIF2 alpha kinase activator homolog	YES	YES	no	no	YES	no	no	FALSE	FALSE	FALSE
GDI2	ENSG00000057608	GDI2	GDP dissociation inhibitor 2	YES	no	no	no	no	no	no	FALSE	FALSE	FALSE
GEMIN5	ENSG00000082516	GEMIN5	gem nuclear organelle associated protein 5	no	YES	no	YES	no	no	no	FALSE	FALSE	FALSE
GFM1	ENSG00000168827	GFM1	G elongation factor mitochondrial 1	no	no	no	YES	no	no	no	FALSE	FALSE	FALSE
GGCT	ENSG00000006625	GGCT	gamma-glutamylcyclotransferase	no	YES	no	no	no	no	no	TRUE	TRUE	TRUE
GIGYF2	ENSG00000204120	GIGYF2	GRB10 interacting GYF protein 2	YES	YES	no	no	no	no	no	FALSE	FALSE	FALSE
