HuH7 mRNA interactome_Ensembl gene ID,HuH7 mRNA interactome_ENSEMBL Gene Name,HuH7 mRNA interactome_Entrez Gene ID,Uniprot,mRNA interactome status,average log2 fold change (cCL/control),padj cCL,average log2 fold change (PAR-CL/control),padj PAR-CL,HuH7 mRNA interactome_RNA biology status,HuH7 mRNA interactome_RBD,human mRNA interactomes_Ensembl gene ID,HeLa,HEK293,HuH7,human mRNA interactomes_ENSEMBL Gene Name,human mRNA interactomes_Entrez Gene ID,Uniprot entry,human mRNA interactomes_RNA biology status,human mRNA interactomes_RBD,enigmRBP,"""classical"" metablic enzyme",EC number,EC class,"Conserved ""core"" RBP",InParanoid Cluster ID,Uniprot ID,Organism
ENSG00000114416,FXR1,8087,P51114,mRNA interactome,4.076372,0.0002278172,4.82608,0.0004385888,linked,recognized,ENSG00000114416,mRNA interactome,mRNA interactome,mRNA interactome,FXR1,8087,P51114,linked,recognized,,,,,,,,
ENSG00000048740,CELF2,10659,O95319,candidate RNA binder,4.0705365,0.0265965036,,,linked,recognized,ENSG00000048740,no evidence,mRNA interactome,candidate RNA binder,CELF2,10659,O95319,linked,recognized,,,,,core,1685,O95319,H.sapiens
ENSG00000100129,EIF3L,51386,Q9Y262,mRNA interactome,4.0649035,0.0009813814,4.538418,0.0017799181,linked,recognized,ENSG00000100129,mRNA interactome,mRNA interactome,mRNA interactome,EIF3L,51386,Q9Y262,linked,recognized,,,,,,,,
ENSG00000143486,EIF2D,1939,P41214,mRNA interactome,4.063485,0.0011288565,,,linked,recognized,ENSG00000143486,no evidence,no evidence,mRNA interactome,EIF2D,1939,P41214,linked,recognized,,,,,core,1398,P41214,H.sapiens
ENSG00000100353,EIF3D,8664,O15371,mRNA interactome,4.059916,0.0002278172,3.7084576667,0.00094063,linked,recognized,ENSG00000100353,mRNA interactome,mRNA interactome,mRNA interactome,EIF3D,8664,O15371,linked,recognized,,,,,,,,
ENSG00000125691,RPL23,9349,P62829,mRNA interactome,4.057565,0.0009292609,2.7312035,0.0120021369,linked,unknown,ENSG00000125691,mRNA interactome,no evidence,mRNA interactome,RPL23,9349,P62829,linked,unknown,,,,,,,,
ENSG00000151304,SRFBP1,153443,Q8NEF9,mRNA interactome,4.05283,0.0004378494,5.5060706667,0.0004385888,unknown,unknown,ENSG00000151304,mRNA interactome,mRNA interactome,mRNA interactome,SRFBP1,153443,Q8NEF9,unknown,unknown,yes,,,,,,,
ENSG00000124783,SSR1,6745,P43307,mRNA interactome,4.0475043333,0.0002278172,,,linked,unknown,ENSG00000124783,no evidence,no evidence,mRNA interactome,SSR1,6745,P43307,linked,unknown,,,,,,,,
ENSG00000114686,MRPL3,11222,P09001,mRNA interactome,4.042143,0.0072898549,7.1141955,0.0005114115,linked,unknown,ENSG00000114686,mRNA interactome,mRNA interactome,mRNA interactome,MRPL3,11222,P09001,linked,unknown,,,,,,,,
ENSG00000144029,MRPS5,64969,P82675,mRNA interactome,4.0354616667,0.0002793393,3.4566763333,0.0060017363,linked,recognized,ENSG00000144029,mRNA interactome,mRNA interactome,mRNA interactome,MRPS5,64969,P82675,linked,recognized,,,,,,,,
ENSG00000109534,GAR1,54433,Q9NY12,mRNA interactome,4.029923,0.005740977,5.4216023333,0.0009195575,linked,recognized,ENSG00000109534,mRNA interactome,mRNA interactome,mRNA interactome,GAR1,54433,Q9NY12,linked,recognized,,,,,core,1003,Q9NY12,H.sapiens
ENSG00000139168,ZCRB1,85437,Q8TBF4,mRNA interactome,4.0270523333,0.0005345765,3.246496,0.0012179067,linked,recognized,ENSG00000139168,mRNA interactome,mRNA interactome,mRNA interactome,ZCRB1,85437,Q8TBF4,linked,recognized,,,,,,,,
ENSG00000170889,RPS9,6203,P46781,mRNA interactome,4.0199503333,0.0009458817,3.5729146667,0.0029495372,linked,recognized,ENSG00000170889,mRNA interactome,no evidence,mRNA interactome,RPS9,6203,P46781,linked,recognized,,,,,core,660,P46781,H.sapiens
ENSG00000132275,RRP8,23378,O43159,mRNA interactome,4.0189605,0.0011140821,3.9799513333,0.0050820791,linked,unknown,ENSG00000132275,mRNA interactome,mRNA interactome,mRNA interactome,RRP8,23378,O43159,linked,unknown,,,,,core,1188,O43159,H.sapiens
ENSG00000151247,EIF4E,1977,P06730,mRNA interactome,4.017144,0.000853669,6.460837,0.0009415886,linked,recognized,ENSG00000151247,no evidence,mRNA interactome,mRNA interactome,EIF4E,1977,P06730,linked,recognized,,,,,core,1356,P06730,H.sapiens
ENSG00000126749,EMG1,10436,Q92979,mRNA interactome,4.0133923333,0.0002941849,4.8665793333,0.0004783454,unknown,unknown,ENSG00000126749,mRNA interactome,mRNA interactome,mRNA interactome,EMG1,10436,Q92979,unknown,unknown,yes,,,,core,836,Q92979,H.sapiens
ENSG00000156976,EIF4A2,1974,Q14240,mRNA interactome,4.006805,0.0002947151,4.712527,0.0014794815,linked,recognized,ENSG00000156976,mRNA interactome,mRNA interactome,mRNA interactome,EIF4A2,1974,Q14240,linked,recognized,,,,,core,221,Q14240,H.sapiens
ENSG00000182944,EWSR1,2130,Q01844,mRNA interactome,4.005644,0.0002278172,4.0718156667,0.000676919,linked,recognized,ENSG00000182944,mRNA interactome,mRNA interactome,mRNA interactome,EWSR1,2130,Q01844,linked,recognized,,,,,,,,
ENSG00000142546,NOSIP,51070,Q9Y314,mRNA interactome,4.00304,0.0011243488,,,unknown,unknown,ENSG00000142546,mRNA interactome,no evidence,mRNA interactome,NOSIP,51070,Q9Y314,unknown,unknown,yes,,,,,,,
ENSG00000111530,CAND1,55832,Q86VP6,mRNA interactome,4.0028375,0.0025229905,2.441264,0.0147982676,linked,unknown,ENSG00000111530,no evidence,no evidence,mRNA interactome,CAND1,55832,Q86VP6,linked,unknown,,,,,,,,
ENSG00000129245,FXR2,9513,P51116,mRNA interactome,3.997488,0.001123353,4.556166,0.0005114115,linked,recognized,ENSG00000129245,mRNA interactome,mRNA interactome,mRNA interactome,FXR2,9513,P51116,linked,recognized,,,,,,,,
ENSG00000180228,PRKRA,8575,O75569,mRNA interactome,3.9757756667,0.0006343456,,,linked,recognized,ENSG00000180228,no evidence,mRNA interactome,mRNA interactome,PRKRA,8575,O75569,linked,recognized,,,,,,,,
ENSG00000173145,NOC3L,64318,Q8WTT2,mRNA interactome,3.973785,0.0037540691,2.5699993,0.0148730624,unknown,recognized,ENSG00000173145,mRNA interactome,mRNA interactome,mRNA interactome,NOC3L,64318,Q8WTT2,unknown,recognized,,,,,,,,
ENSG00000122299,ZC3H7A,29066,Q8IWR0,mRNA interactome,3.9736323333,0.0002793393,3.415911,0.0041591321,unknown,recognized,ENSG00000122299,mRNA interactome,mRNA interactome,mRNA interactome,ZC3H7A,29066,Q8IWR0,unknown,recognized,,,,,,,,
ENSG00000103194,USP10,9100,Q14694,mRNA interactome,3.9703173333,0.0004253189,3.9512136667,0.0010211383,unknown,unknown,ENSG00000103194,mRNA interactome,mRNA interactome,mRNA interactome,USP10,9100,Q14694,unknown,unknown,yes,yes,3.1.2.15,hydrolase,core,1143,Q14694,H.sapiens
ENSG00000139746,RBM26,64062,Q5T8P6,mRNA interactome,3.9683593333,0.0002856154,2.0675722333,0.0742565385,linked,recognized,ENSG00000139746,mRNA interactome,mRNA interactome,mRNA interactome,RBM26,64062,Q5T8P6,linked,recognized,,,,,,,,
ENSG00000130119,GNL3L,54552,Q9NVN8,mRNA interactome,3.963854,0.0039652347,,,linked,unknown,ENSG00000130119,mRNA interactome,no evidence,mRNA interactome,GNL3L,54552,Q9NVN8,linked,unknown,,,,,core,1027,Q9NVN8,H.sapiens
ENSG00000089737,DDX24,57062,Q9GZR7,mRNA interactome,3.9574776667,0.0005280527,3.2013506667,0.0029912599,linked,recognized,ENSG00000089737,mRNA interactome,mRNA interactome,mRNA interactome,DDX24,57062,Q9GZR7,linked,recognized,,,,,,,,
ENSG00000047849,MAP4,4134,P27816,mRNA interactome,3.9560936667,0.0003948781,1.1411964333,0.0654222427,unknown,unknown,ENSG00000047849,mRNA interactome,mRNA interactome,mRNA interactome,MAP4,4134,P27816,unknown,unknown,yes,,,,,,,
ENSG00000148296,SURF6,6838,O75683,mRNA interactome,3.9505905,0.0168213268,5.391366,0.0009372259,linked,unknown,ENSG00000148296,mRNA interactome,mRNA interactome,mRNA interactome,SURF6,6838,O75683,linked,unknown,,,,,,,,
ENSG00000241945,PWP2,5822,Q15269,mRNA interactome,3.9482636667,0.0002931838,3.6829305,0.0036854788,unknown,unknown,ENSG00000241945,mRNA interactome,mRNA interactome,mRNA interactome,PWP2,5822,Q15269,unknown,unknown,yes,,,,,,,
ENSG00000131013,PPIL4,85313,Q8WUA2,mRNA interactome,3.943042,0.0005848486,,,linked,recognized,ENSG00000131013,mRNA interactome,mRNA interactome,mRNA interactome,PPIL4,85313,Q8WUA2,linked,recognized,,yes,5.2.1.8.,isomerase,,,,
ENSG00000082153,BZW1,9689,Q7L1Q6,mRNA interactome,3.930207,0.0002278172,2.572884,0.002569169,unknown,unknown,ENSG00000082153,mRNA interactome,mRNA interactome,mRNA interactome,BZW1,9689,Q7L1Q6,unknown,unknown,yes,,,,,,,
ENSG00000121390,PSPC1,55269,Q8WXF1,mRNA interactome,3.9293646667,0.0006905674,5.1224856667,0.0004385888,linked,recognized,ENSG00000121390,mRNA interactome,mRNA interactome,mRNA interactome,PSPC1,55269,Q8WXF1,linked,recognized,,,,,core,1721,Q8WXF1,H.sapiens
ENSG00000103067,ESRP2,80004,Q9H6T0,mRNA interactome,3.927987,0.0002278172,3.738971,0.0009195575,linked,recognized,ENSG00000103067,mRNA interactome,mRNA interactome,mRNA interactome,ESRP2,80004,Q9H6T0,linked,recognized,,,,,,,,
ENSG00000134684,YARS,8565,P54577,mRNA interactome,3.915259,0.0011672529,,,linked,recognized,ENSG00000134684,mRNA interactome,no evidence,mRNA interactome,YARS,8565,P54577,linked,recognized,,,,,,,,
ENSG00000114127,XRN1,54464,Q8IZH2,mRNA interactome,3.9083935,0.0021358669,,,linked,recognized,ENSG00000114127,mRNA interactome,mRNA interactome,mRNA interactome,XRN1,54464,Q8IZH2,linked,recognized,,,,,,,,
ENSG00000100722,ZC3H14,79882,Q6PJT7,mRNA interactome,3.905229,0.0007681709,2.7706226667,0.0048763342,linked,unknown,ENSG00000100722,mRNA interactome,mRNA interactome,mRNA interactome,ZC3H14,79882,Q6PJT7,linked,unknown,,,,,,,,
ENSG00000136271,DDX56,54606,Q9NY93,mRNA interactome,3.9044563333,0.0009292609,4.1780466667,0.0019171875,linked,recognized,ENSG00000136271,mRNA interactome,no evidence,mRNA interactome,DDX56,54606,Q9NY93,linked,recognized,,,,,core,308,Q9NY93,H.sapiens
ENSG00000087087,SRRT,51593,Q9BXP5,mRNA interactome,3.9042896667,0.0002779412,3.990916,0.0008910767,linked,unknown,ENSG00000087087,mRNA interactome,mRNA interactome,mRNA interactome,SRRT,51593,Q9BXP5,linked,unknown,,,,,,,,
ENSG00000198301,SDAD1,55153,Q9NVU7,mRNA interactome,3.9036313333,0.0006156659,3.5077006667,0.0010419459,linked,unknown,ENSG00000198301,no evidence,no evidence,mRNA interactome,SDAD1,55153,Q9NVU7,linked,unknown,,,,,core,354,Q9NVU7,H.sapiens
ENSG00000091527,CDV3,55573,Q9UKY7,mRNA interactome,3.900202,0.0015375945,,,unknown,unknown,ENSG00000091527,no evidence,no evidence,mRNA interactome,CDV3,55573,Q9UKY7,unknown,unknown,yes,,,,,,,
ENSG00000162775,RBM15,64783,Q96T37,mRNA interactome,3.897773,0.0002360662,2.8319675,0.008984254,linked,recognized,ENSG00000162775,mRNA interactome,mRNA interactome,mRNA interactome,RBM15,64783,Q96T37,linked,recognized,,,,,,,,
ENSG00000138430,OLA1,29789,Q9NTK5,mRNA interactome,3.897233,0.0006156659,,,unknown,unknown,ENSG00000138430,no evidence,no evidence,mRNA interactome,OLA1,29789,Q9NTK5,unknown,unknown,yes,yes,3.6.4.7,hydrolase,core,353,Q9NTK5,H.sapiens
ENSG00000174720,LARP7,51574,Q4G0J3,mRNA interactome,3.892651,0.0005939728,3.005409,0.0121507447,linked,recognized,ENSG00000174720,mRNA interactome,mRNA interactome,mRNA interactome,LARP7,51574,Q4G0J3,linked,recognized,,,,,,,,
ENSG00000055044,NOP58,51602,Q9Y2X3,mRNA interactome,3.8909216667,0.0002647422,2.5229791,0.0122259239,linked,recognized,ENSG00000055044,mRNA interactome,mRNA interactome,mRNA interactome,NOP58,51602,Q9Y2X3,linked,recognized,,,,,core,280,Q9Y2X3,H.sapiens
ENSG00000166197,NOLC1,9221,Q14978,mRNA interactome,3.8804823333,0.0061843125,2.5164688,0.0225722075,linked,recognized,ENSG00000166197,mRNA interactome,mRNA interactome,mRNA interactome,NOLC1,9221,Q14978,linked,recognized,,,,,,,,
ENSG00000100345,MYH9,4627,P35579,mRNA interactome,3.8754315,0.0011732383,2.787307,0.0083024093,linked,recognized,ENSG00000100345,no evidence,mRNA interactome,mRNA interactome,MYH9,4627,P35579,linked,recognized,,,,,,,,
ENSG00000105127,AKAP8,10270,O43823,mRNA interactome,3.8709806667,0.0003095215,4.2101063333,0.0007339825,unknown,unknown,ENSG00000105127,mRNA interactome,mRNA interactome,mRNA interactome,AKAP8,10270,O43823,unknown,unknown,yes,,,,,,,
ENSG00000119314,PTBP3,9991,O95758,mRNA interactome,3.862707,0.0002360662,4.1816513333,0.0006587224,linked,recognized,ENSG00000119314,mRNA interactome,mRNA interactome,mRNA interactome,PTBP3,9991,O95758,linked,recognized,,,,,,,,
ENSG00000163214,DHX57,90957,Q6P158,mRNA interactome,3.855149,0.0032332243,3.620171,0.0033312503,unknown,recognized,ENSG00000163214,mRNA interactome,mRNA interactome,mRNA interactome,DHX57,90957,Q6P158,unknown,recognized,,,,,core,334,Q6P158,H.sapiens
ENSG00000125351,UPF3B,65109,Q9BZI7,mRNA interactome,3.853299,0.0017833444,4.3826865,0.0039673383,linked,recognized,ENSG00000125351,mRNA interactome,mRNA interactome,mRNA interactome,UPF3B,65109,Q9BZI7,linked,recognized,,,,,,,,
ENSG00000088930,XRN2,22803,Q9H0D6,mRNA interactome,3.8482575,0.0016049556,3.3399745,0.0047966935,linked,recognized,ENSG00000088930,mRNA interactome,mRNA interactome,mRNA interactome,XRN2,22803,Q9H0D6,linked,recognized,,,,,,,,
ENSG00000162664,ZNF326,284695,Q5BKZ1,mRNA interactome,3.8451305,0.001659772,4.5809105,0.0018431998,linked,unknown,ENSG00000162664,mRNA interactome,mRNA interactome,mRNA interactome,ZNF326,284695,Q5BKZ1,linked,unknown,,,,,,,,
ENSG00000160633,SAFB,6294,Q15424,mRNA interactome,3.834419,0.0004069353,4.7272283333,0.0005114115,linked,recognized,ENSG00000160633,mRNA interactome,mRNA interactome,mRNA interactome,SAFB,6294,Q15424,linked,recognized,,,,,,,,
ENSG00000007080,CCDC124,115098,Q96CT7,mRNA interactome,3.833074,0.0002734962,,,unknown,unknown,ENSG00000007080,mRNA interactome,no evidence,mRNA interactome,CCDC124,115098,Q96CT7,unknown,unknown,yes,,,,,,,
ENSG00000206557,TRIM71,131405,Q2Q1W2,mRNA interactome,3.8256716667,0.0002401589,2.793439,0.0041217387,linked,unknown,ENSG00000206557,no evidence,no evidence,mRNA interactome,TRIM71,131405,Q2Q1W2,linked,unknown,,,,,,,,
ENSG00000132603,NIP7,51388,Q9Y221,mRNA interactome,3.821674,0.000424365,1.956413,0.0245026328,linked,recognized,ENSG00000132603,mRNA interactome,mRNA interactome,mRNA interactome,NIP7,51388,Q9Y221,linked,recognized,,,,,core,878,Q9Y221,H.sapiens
ENSG00000087365,SF3B2,10992,Q13435,mRNA interactome,3.8149703333,0.0007166463,3.463587,0.0013234593,linked,recognized,ENSG00000087365,mRNA interactome,mRNA interactome,mRNA interactome,SF3B2,10992,Q13435,linked,recognized,,,,,,,,
ENSG00000076067,RBMS2,5939,Q15434,mRNA interactome,3.811058,0.0003519732,3.348606,0.0014354307,linked,recognized,ENSG00000076067,mRNA interactome,mRNA interactome,mRNA interactome,RBMS2,5939,Q15434,linked,recognized,,,,,,,,
ENSG00000254726,MEX3A,92312,A1L020,mRNA interactome,3.8082216667,0.0003177142,4.0009223333,0.0009372259,linked,recognized,ENSG00000254726,no evidence,mRNA interactome,mRNA interactome,MEX3A,92312,A1L020,linked,recognized,,,,,,,,
ENSG00000135870,RC3H1,149041,Q5TC82,mRNA interactome,3.803006,0.0002793393,3.9128466667,0.000629275,linked,unknown,ENSG00000135870,mRNA interactome,mRNA interactome,mRNA interactome,RC3H1,149041,Q5TC82,linked,unknown,,,,,,,,
ENSG00000100320,RBFOX2,23543,O43251,mRNA interactome,3.802403,0.0003717494,3.842846,0.0030082051,linked,recognized,ENSG00000100320,mRNA interactome,mRNA interactome,mRNA interactome,RBFOX2,23543,O43251,linked,recognized,,,,,,,,
ENSG00000161847,RAVER1,125950,Q8IY67,mRNA interactome,3.8006096667,0.0002793393,4.2563886667,0.0005525254,unknown,recognized,ENSG00000161847,mRNA interactome,mRNA interactome,mRNA interactome,RAVER1,125950,Q8IY67,unknown,recognized,,,,,,,,
ENSG00000125445,MRPS7,51081,Q9Y2R9,mRNA interactome,3.7964313333,0.0002647422,3.201144,0.0050820791,linked,unknown,ENSG00000125445,mRNA interactome,mRNA interactome,mRNA interactome,MRPS7,51081,Q9Y2R9,linked,unknown,,,,,,,,
ENSG00000135097,MSI1,4440,O43347,mRNA interactome,3.7836926667,0.0003172347,3.3793083333,0.0009387866,linked,recognized,ENSG00000135097,no evidence,mRNA interactome,mRNA interactome,MSI1,4440,O43347,linked,recognized,,,,,,,,
ENSG00000173914,RBM4B,83759,Q9BQ04,mRNA interactome,3.783003,0.0002793393,3.1946486667,0.0029338265,linked,recognized,ENSG00000173914,mRNA interactome,mRNA interactome,mRNA interactome,RBM4B,83759,Q9BQ04,linked,recognized,,,,,,,,
ENSG00000092199,HNRNPC,3183,P07910,mRNA interactome,3.7771815,0.0030243556,2.746983,0.0082505632,linked,recognized,ENSG00000092199,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPC,3183,P07910,linked,recognized,,,,,,,,
ENSG00000122068,FYTTD1,84248,Q96QD9,mRNA interactome,3.776271,0.0013150493,3.703118,0.0030762467,linked,unknown,ENSG00000122068,no evidence,mRNA interactome,mRNA interactome,FYTTD1,84248,Q96QD9,linked,unknown,,,,,,,,
ENSG00000105193,RPS16,6217,P62249,mRNA interactome,3.7755446667,0.0020380567,3.8590223333,0.0012179067,linked,unknown,ENSG00000105193,no evidence,mRNA interactome,mRNA interactome,RPS16,6217,P62249,linked,unknown,,,,,,,,
ENSG00000122729,ACO1,48,P21399,mRNA interactome,3.7751125,0.0018938338,,,linked,unknown,ENSG00000122729,no evidence,no evidence,mRNA interactome,ACO1,48,P21399,linked,unknown,,yes,4.2.1.3,lyase,,,,
ENSG00000110367,DDX6,1656,P26196,mRNA interactome,3.7738573333,0.0004253189,3.233389,0.0036265955,linked,recognized,ENSG00000110367,mRNA interactome,mRNA interactome,mRNA interactome,DDX6,1656,P26196,linked,recognized,,,,,core,173,P26196,H.sapiens
ENSG00000182872,RBM10,8241,P98175,mRNA interactome,3.772986,0.0002632746,3.4586713333,0.0009145816,linked,recognized,ENSG00000182872,mRNA interactome,mRNA interactome,mRNA interactome,RBM10,8241,P98175,linked,recognized,,,,,,,,
ENSG00000105939,ZC3HAV1,56829,Q7Z2W4,mRNA interactome,3.767243,0.0002793393,3.4116306667,0.0011563534,linked,unknown,ENSG00000105939,mRNA interactome,mRNA interactome,mRNA interactome,ZC3HAV1,56829,Q7Z2W4,linked,unknown,,,,,,,,
ENSG00000106803,SEC61B,10952,P60468,mRNA interactome,3.761351,0.0013120257,,,linked,unknown,ENSG00000106803,mRNA interactome,no evidence,mRNA interactome,SEC61B,10952,P60468,linked,unknown,,,,,,,,
ENSG00000214753,HNRNPUL2,221092,Q1KMD3,mRNA interactome,3.7590053333,0.0006461148,4.075896,0.0026001606,unknown,recognized,ENSG00000214753,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPUL2,221092,Q1KMD3,unknown,recognized,,,,,,,,
ENSG00000111605,CPSF6,11052,Q16630,mRNA interactome,3.7537976667,0.0005374837,4.0369163333,0.0014395434,linked,recognized,ENSG00000111605,mRNA interactome,mRNA interactome,mRNA interactome,CPSF6,11052,Q16630,linked,recognized,,,,,,,,
ENSG00000160710,ADAR,103,P55265,mRNA interactome,3.749782,0.0003875118,4.1400326667,0.0006607703,linked,recognized,ENSG00000160710,mRNA interactome,mRNA interactome,mRNA interactome,ADAR,103,P55265,linked,recognized,,,,,,,,
ENSG00000244462,RBM12,10137,Q9NTZ6,mRNA interactome,3.7451863333,0.000446658,3.9799426667,0.0008910767,linked,recognized,ENSG00000244462,mRNA interactome,mRNA interactome,mRNA interactome,RBM12,10137,Q9NTZ6,linked,recognized,,,,,,,,
ENSG00000107164,FUBP3,8939,Q96I24,mRNA interactome,3.73443,0.0071634407,,,linked,recognized,ENSG00000107164,mRNA interactome,mRNA interactome,mRNA interactome,FUBP3,8939,Q96I24,linked,recognized,,,,,,,,
ENSG00000178952,TUFM,7284,P49411,mRNA interactome,3.731784,0.0072664386,3.3897265,0.0069560679,linked,recognized,ENSG00000178952,mRNA interactome,no evidence,mRNA interactome,TUFM,7284,P49411,linked,recognized,,,,,,,,
ENSG00000106028,SSBP1,6742,Q04837,mRNA interactome,3.7291503333,0.000316758,3.2643163333,0.001830434,unknown,unknown,ENSG00000106028,mRNA interactome,mRNA interactome,mRNA interactome,SSBP1,6742,Q04837,unknown,unknown,yes,,,,,,,
ENSG00000204628,GNB2L1,10399,P63244,mRNA interactome,3.721993,0.0003824669,2.9500216667,0.0025048403,linked,unknown,ENSG00000204628,mRNA interactome,mRNA interactome,mRNA interactome,GNB2L1,10399,P63244,linked,unknown,,,,,core,454,P63244,H.sapiens
ENSG00000056097,ZFR,51663,Q96KR1,mRNA interactome,3.7216306667,0.000383905,4.2103346667,0.0005114115,linked,recognized,ENSG00000056097,mRNA interactome,mRNA interactome,mRNA interactome,ZFR,51663,Q96KR1,linked,recognized,,,,,,,,
ENSG00000198917,C9orf114,51490,Q5T280,mRNA interactome,3.719412,0.0004621386,3.5370673333,0.0015590292,unknown,recognized,ENSG00000198917,mRNA interactome,mRNA interactome,mRNA interactome,C9orf114,51490,Q5T280,unknown,recognized,,,,,,,,
ENSG00000104408,EIF3E,3646,P60228,mRNA interactome,3.7163146667,0.000424365,3.3333805,0.0050454084,linked,unknown,ENSG00000104408,no evidence,mRNA interactome,mRNA interactome,EIF3E,3646,P60228,linked,unknown,,,,,,,,
ENSG00000183808,RBM12B,389677,Q8IXT5,mRNA interactome,3.7140865,0.0021354121,3.5298725,0.0035110929,linked,recognized,ENSG00000183808,mRNA interactome,mRNA interactome,mRNA interactome,RBM12B,389677,Q8IXT5,linked,recognized,,,,,,,,
ENSG00000065183,WDR3,10885,Q9UNX4,mRNA interactome,3.7079853333,0.0004320532,3.523332,0.0009415886,unknown,unknown,ENSG00000065183,mRNA interactome,no evidence,mRNA interactome,WDR3,10885,Q9UNX4,unknown,unknown,yes,,,,,,,
ENSG00000126777,KTN1,3895,Q86UP2,mRNA interactome,3.704146,0.0002796359,3.1722195,0.0125464504,unknown,unknown,ENSG00000126777,mRNA interactome,no evidence,mRNA interactome,KTN1,3895,Q86UP2,unknown,unknown,yes,,,,,,,
ENSG00000115368,WDR75,84128,Q8IWA0,mRNA interactome,3.696764,0.0006357874,2.00867465,0.1028080924,unknown,unknown,ENSG00000115368,mRNA interactome,mRNA interactome,mRNA interactome,WDR75,84128,Q8IWA0,unknown,unknown,yes,,,,,,,
ENSG00000088205,DDX18,8886,Q9NVP1,mRNA interactome,3.694775,0.0006298376,3.5353606667,0.0024687841,linked,recognized,ENSG00000088205,mRNA interactome,mRNA interactome,mRNA interactome,DDX18,8886,Q9NVP1,linked,recognized,,,,,core,138,Q9NVP1,H.sapiens
ENSG00000152778,IFIT5,24138,Q13325,mRNA interactome,3.693227,0.0044781151,,,linked,unknown,ENSG00000152778,no evidence,mRNA interactome,mRNA interactome,IFIT5,24138,Q13325,linked,unknown,,,,,,,,
ENSG00000001497,LAS1L,81887,Q9Y4W2,mRNA interactome,3.693023,0.0013983299,3.4985806667,0.0014259612,linked,unknown,ENSG00000001497,mRNA interactome,mRNA interactome,mRNA interactome,LAS1L,81887,Q9Y4W2,linked,unknown,,,,,,,,
ENSG00000121774,KHDRBS1,10657,Q07666,mRNA interactome,3.69175,0.0005298735,4.6804325,0.0020912789,linked,recognized,ENSG00000121774,mRNA interactome,mRNA interactome,mRNA interactome,KHDRBS1,10657,Q07666,linked,recognized,,,,,,,,
ENSG00000125977,EIF2S2,8894,P20042,mRNA interactome,3.6893655,0.0040329081,2.71875,0.0120207355,linked,unknown,ENSG00000125977,mRNA interactome,mRNA interactome,mRNA interactome,EIF2S2,8894,P20042,linked,unknown,,,,,core,972,P20042,H.sapiens
ENSG00000101367,MAPRE1,22919,Q15691,mRNA interactome,3.6835213333,0.0008405266,,,unknown,unknown,ENSG00000101367,no evidence,mRNA interactome,mRNA interactome,MAPRE1,22919,Q15691,unknown,unknown,yes,,,,,,,
ENSG00000063244,U2AF2,11338,P26368,mRNA interactome,3.680879,0.000383905,3.7251596667,0.0007593762,linked,recognized,ENSG00000063244,mRNA interactome,mRNA interactome,mRNA interactome,U2AF2,11338,P26368,linked,recognized,,,,,,,,
ENSG00000172172,MRPL13,28998,Q9BYD1,mRNA interactome,3.679477,0.0013983299,,,linked,unknown,ENSG00000172172,mRNA interactome,mRNA interactome,mRNA interactome,MRPL13,28998,Q9BYD1,linked,unknown,,,,,,,,
ENSG00000058262,SEC61A1,29927,P61619,mRNA interactome,3.678907,0.001399742,,,linked,unknown,ENSG00000058262,no evidence,no evidence,mRNA interactome,SEC61A1,29927,P61619,linked,unknown,,,,,,,,
ENSG00000033030,ZCCHC8,55596,Q6NZY4,mRNA interactome,3.660424,0.0018344116,,,linked,unknown,ENSG00000033030,mRNA interactome,no evidence,mRNA interactome,ZCCHC8,55596,Q6NZY4,linked,unknown,,,,,,,,
ENSG00000168496,FEN1,2237,P39748,mRNA interactome,3.6593786667,0.0002861496,2.597755,0.0099976485,linked,unknown,ENSG00000168496,no evidence,no evidence,mRNA interactome,FEN1,2237,P39748,linked,unknown,,,,,,,,
ENSG00000160208,RRP1B,23076,Q14684,mRNA interactome,3.6580935,0.0031126475,4.0569496667,0.0014877762,linked,recognized,ENSG00000160208,mRNA interactome,mRNA interactome,mRNA interactome,RRP1B,23076,Q14684,linked,recognized,,,,,,,,
ENSG00000149658,YTHDF1,54915,Q9BYJ9,mRNA interactome,3.6557926667,0.0006168325,4.4872183333,0.0008921602,unknown,recognized,ENSG00000149658,mRNA interactome,mRNA interactome,mRNA interactome,YTHDF1,54915,Q9BYJ9,unknown,recognized,,,,,,,,
ENSG00000172239,PAIP1,10605,Q9H074,mRNA interactome,3.6532813333,0.0005298735,,,linked,recognized,ENSG00000172239,no evidence,no evidence,mRNA interactome,PAIP1,10605,Q9H074,linked,recognized,,,,,,,,
ENSG00000143889,HNRNPLL,92906,Q8WVV9,mRNA interactome,3.651834,0.0002793393,1.7992243333,0.2918170907,linked,recognized,ENSG00000143889,mRNA interactome,mRNA interactome,mRNA interactome,HNRNPLL,92906,Q8WVV9,linked,recognized,,,,,,,,
ENSG00000130254,SAFB2,9667,Q14151,mRNA interactome,3.650693,0.0017356124,4.770499,0.0005354613,linked,recognized,ENSG00000130254,mRNA interactome,mRNA interactome,mRNA interactome,SAFB2,9667,Q14151,linked,recognized,,,,,,,,
