Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8ZLJ2	GREB_SALTY	reviewed	Transcription elongation factor GreB (Transcript cleavage factor GreB)	greB STM3503	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	157
P0A2I3	GYRB_SALTY	reviewed	DNA gyrase subunit B (EC 5.99.1.3)	gyrB STM3835	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	804
P64267	GNS_SALTY	reviewed	Protein gns	gns STM1809	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	57
P0A1R0	HFQ_SALTY	reviewed	RNA-binding protein Hfq	hfq STM4361	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	102
P02915	HISP_SALTY	reviewed	Histidine transport ATP-binding protein HisP	hisP STM2351	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	258
Q8ZLG6	GLGX_SALTY	reviewed	Glycogen debranching enzyme (EC 3.2.1.196) (Limit dextrin alpha-1,6-maltotetraose-hydrolase)	glgX STM3537	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	658
Q8ZKX1	GLMS_SALTY	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS STM3861	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	609
Q8ZRM8	GMHBB_SALTY	reviewed	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82) (D,D-heptose 1,7-bisphosphate phosphatase) (HBP phosphatase)	gmhB STM0248	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	188
P37408	HEMH_SALTY	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH visA STM0489	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	320
P03013	HIN_SALTY	reviewed	DNA-invertase hin	hin STM2772	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	190
Q7CPP9	GLMM_SALTY	reviewed	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM STM3294	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	445
P58586	GNGF_SALTY	reviewed	Putative gluconeogenesis factor	ybhK STM0801	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	302
P0A1Q6	HEM1_SALTY	reviewed	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	hemA STM1777	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	418
Q8ZKX0	GLMU_SALTY	reviewed	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU STM3862	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	456
Q8ZKP3	GLPK_SALTY	reviewed	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	glpK STM4086	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	502
Q9ZF60	GLTI_SALTY	reviewed	Glutamate/aspartate import solute-binding protein	gltI STM0665	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	302
Q8ZLK5	GPH_SALTY	reviewed	Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18)	gph STM3482	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	252
Q8ZL56	GPMI_SALTY	reviewed	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	gpmI pmgI STM3704	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	514
Q7CQ05	GRCA_SALTY	reviewed	Autonomous glycyl radical cofactor	grcA STM2646	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	127
P64281	GREA_SALTY	reviewed	Transcription elongation factor GreA (Transcript cleavage factor GreA)	greA STM3299	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	158
P37411	GYRA_SALTY	reviewed	DNA gyrase subunit A (EC 5.99.1.3)	gyrA STM2272	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	878
Q8ZQ52	HIUH_SALTY	reviewed	5-hydroxyisourate hydrolase (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-like protein) (TLP)	hiuH STM1097	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	136
P67912	HLDD_SALTY	reviewed	ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20) (ADP-L-glycero-beta-D-manno-heptose-6-epimerase) (ADP-glyceromanno-heptose 6-epimerase) (ADP-hep 6-epimerase) (AGME)	hldD rfaD STM3710	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	310
P63223	GMHA_SALTY	reviewed	Phosphoheptose isomerase (EC 5.3.1.28) (Sedoheptulose 7-phosphate isomerase)	gmhA lpcA STM0310	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	192
P14567	DPO3A_SALTY	reviewed	DNA polymerase III subunit alpha (EC 2.7.7.7)	dnaE polC STM0231	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	1160
P0A1G9	DPO3E_SALTY	reviewed	DNA polymerase III subunit epsilon (EC 2.7.7.7)	dnaQ mutD STM0264	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	243
Q7CQV9	DPS_SALTY	reviewed	DNA protection during starvation protein (EC 1.16.-.-)	dps STM0831	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	167
P0A206	EUTJ_SALTY	reviewed	Ethanolamine utilization protein EutJ	eutJ STM2462	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	279
Q9ZFU8	EUTK_SALTY	reviewed	Ethanolamine utilization protein EutK	eutK STM2455	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	164
P0A1C9	EUTL_SALTY	reviewed	Ethanolamine utilization protein EutL	eutL STM2456	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	219
P0A208	EUTP_SALTY	reviewed	Ethanolamine utilization protein EutP	eutP STM2469	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	159
Q9ZFV5	EUTQ_SALTY	reviewed	Ethanolamine utilization protein EutQ	eutQ STM2468	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	229
Q9ZFU7	EUTR_SALTY	reviewed	HTH-type transcriptional regulator EutR (Ethanolamine operon regulatory protein)	eutR STM2454	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	350
Q8ZRJ7	FADE_SALTY	reviewed	Acyl-coenzyme A dehydrogenase (ACDH) (Acyl-CoA dehydrogenase) (EC 1.3.8.7) (EC 1.3.8.8) (Medium-/long-chain fatty acyl-CoA dehydrogenase)	fadE fadF yafH STM0309	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	814
Q8ZN60	GUAA_SALTY	reviewed	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA STM2510	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	525
Q7CR66	ERPA_SALTY	reviewed	Iron-sulfur cluster insertion protein ErpA	erpA STM0204	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	114
Q8ZRT5	GUAC_SALTY	reviewed	GMP reductase (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	guaC STM0141	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	347
P0A1A9	EX3_SALTY	reviewed	Exodeoxyribonuclease III (EXO III) (Exonuclease III) (EC 3.1.11.2) (AP endonuclease VI)	xthA STM1302	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	268
Q8ZN58	EX7L_SALTY	reviewed	Exodeoxyribonuclease 7 large subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII large subunit) (Exonuclease VII large subunit)	xseA STM2512	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	449
P64076	ENO_SALTY	reviewed	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno STM2952	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	432
P41793	EUTE_SALTY	reviewed	Ethanolamine utilization protein EutE	eutE STM2463	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	467
P41796	EUTH_SALTY	reviewed	Ethanolamine utilization protein EutH (Putative ethanolamine transporter)	eutH STM2460	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	408
P19264	EUTB_SALTY	reviewed	Ethanolamine ammonia-lyase heavy chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase large subunit)	eutB STM2458	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	453
P41792	EUTN_SALTY	reviewed	Ethanolamine utilization protein EutN	eutN cchB STM2464	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	99
Q9ZFV7	EUTS_SALTY	reviewed	Ethanolamine utilization protein EutS	eutS STM2470	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	111
Q9ZFV4	EUTT_SALTY	reviewed	Ethanolamine utilization cobalamin adenosyltransferase (EC 2.5.1.17)	eutT STM2467	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	267
Q8ZLB7	GUN_SALTY	reviewed	Endoglucanase (EC 3.2.1.4) (Carboxymethylcellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	bcsZ bcsC celC STM3617	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	369
Q8ZMJ9	GUTQ_SALTY	reviewed	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)	gutQ STM2838	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	321
P0A2C9	FABG_SALTY	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG STM1195	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	244
Q8ZP15	FADR_SALTY	reviewed	Fatty acid metabolism regulator protein	fadR STM1805	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	239
P0A2H7	FADA_SALTY	reviewed	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadA STM3982 STMD1.7	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	387
Q9L6L5	FADB_SALTY	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadB STM3983 STMD1.6	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	729
P67458	EX7S_SALTY	reviewed	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB STM0424	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	80
Q7CPB8	FABR_SALTY	reviewed	HTH-type transcriptional repressor FabR	fabR STM4127	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	210
P0A2H9	DSBA_SALTY	reviewed	Thiol:disulfide interchange protein DsbA	dsbA STM3997	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	207
Q8ZMX5	EAMB_SALTY	reviewed	Cysteine/O-acetylserine efflux protein	eamB STM2645	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	195
Q8ZN89	DNLJ_SALTY	reviewed	DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)])	ligA STM2427	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	671
P64105	FABA_SALTY	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA STM1067	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	172
O85139	FABH_SALTY	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase 3 (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase III) (Beta-ketoacyl-ACP synthase III) (KAS III)	fabH STM1193	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	317
P16657	FABI_SALTY	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM STM1700	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	262
P0A1H9	FABZ_SALTY	reviewed	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ STM0227	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	151
Q8ZNA5	FADL_SALTY	reviewed	Long-chain fatty acid transport protein (Outer membrane FadL protein) (Outer membrane flp protein)	fadL STM2391	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	435
Q8ZNA7	FADJ_SALTY	reviewed	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	fadJ STM2388	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	715
P0A1G7	DNAJ_SALTY	reviewed	Chaperone protein DnaJ	dnaJ STM0013	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	379
Q56073	DNAK_SALTY	reviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK STM0012	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	638
P63989	DPO4_SALTY	reviewed	DNA polymerase IV (Pol IV) (EC 2.7.7.7)	dinB dinP STM0313	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	351
P64095	FIXB_SALTY	reviewed	Protein FixB	fixB STM0076	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	313
O87656	FHUB_SALTY	reviewed	Iron(3+)-hydroxamate import system permease protein FhuB (Ferric hydroxamate uptake protein B) (Ferrichrome transport system permease protein FhuB) (Ferrichrome uptake protein FhuB) (Iron(III)-hydroxamate import system permease protein FhuB)	fhuB STM0194	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	685
P40727	FLHB_SALTY	reviewed	Flagellar biosynthetic protein FlhB	flhB STM1914	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	383
P15931	FLGJ_SALTY	reviewed	Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ)	flgJ fla FX flaZ STM1182	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	316
O52222	FLHC_SALTY	reviewed	Flagellar transcriptional regulator FlhC	flhC STM1924	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	192
P26477	FLGM_SALTY	reviewed	Negative regulator of flagellin synthesis (Anti-sigma-28 factor)	flgM flgR mviS STM1172	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	97
Q56106	FLIB_SALTY	reviewed	Lysine-N-methylase (EC 2.1.1.-) (Lysine N-methyltransferase)	fliB nml STM1958	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	401
P15934	FLIH_SALTY	reviewed	Flagellar assembly protein FliH	fliH fla AII.3 fla BIII STM1971	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	235
P26418	FLIM_SALTY	reviewed	Flagellar motor switch protein FliM	fliM cheC2 fla AII fla QII STM1976	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	334
P0A1L1	FLIO_SALTY	reviewed	Flagellar protein FliO	fliO flaP flbD STM1978	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	125
Q7CQ37	FLK_SALTY	reviewed	Flagellar regulator flk (Fluke)	flk STM2371	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	333
Q8ZQE8	HCP_SALTY	reviewed	Hydroxylamine reductase (EC 1.7.99.1) (Hybrid-cluster protein) (HCP) (Prismane protein)	hcp STM0937	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	550
Q7CR84	FTSL_SALTY	reviewed	Cell division protein FtsL	ftsL STM0121	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	121
P0A1T4	FUMD_SALTY	reviewed	Fumarase D (EC 4.2.1.2)	fumD ydhZ STM1388	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	70
Q8ZM76	GCSP_SALTY	reviewed	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	gcvP STM3053	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	957
P64222	GCST_SALTY	reviewed	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT STM3055	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	364
Q8ZQ30	GHRA_SALTY	reviewed	Glyoxylate/hydroxypyruvate reductase A (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoacid reductase)	ghrA STM1135	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	312
P05416	GLGA_SALTY	reviewed	Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase)	glgA STM3535	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	477
P05415	GLGC_SALTY	reviewed	Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27) (ADP-glucose pyrophosphorylase) (ADPGlc PPase) (ADP-glucose synthase)	glgC STM3536	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	431
P10368	HIS7_SALTY	reviewed	Histidine biosynthesis bifunctional protein HisB [Includes: Histidinol-phosphatase (EC 3.1.3.15); Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)]	hisB STM2074	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	355
Q8ZLG5	GLGB_SALTY	reviewed	1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)	glgB STM3538	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	728
P0A1P6	GLN1B_SALTY	reviewed	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA STM4007	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	469
P0A1R4	HIS5_SALTY	reviewed	Imidazole glycerol phosphate synthase subunit HisH (EC 2.4.2.-) (IGP synthase glutamine amidotransferase subunit) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	hisH STM2075	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	196
Q8ZRM2	GLO2_SALTY	reviewed	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	gloB STM0261	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	251
P0A1R2	HIS6_SALTY	reviewed	Imidazole glycerol phosphate synthase subunit HisF (EC 4.1.3.-) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	hisF STM2077	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	258
Q8ZLH5	GLPG_SALTY	reviewed	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)	glpG STM3524	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	276
Q8ZPI2	GLSA_SALTY	reviewed	Glutaminase (EC 3.5.1.2)	glsA STM1525	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	308
Q8ZRQ7	GLUQ_SALTY	reviewed	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)	gluQ STM0185	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	298
P67270	GCH1L_SALTY	reviewed	GTP cyclohydrolase 1 type 2 homolog	ybgI STM0711	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	247
Q8ZM75	GCSH_SALTY	reviewed	Glycine cleavage system H protein	gcvH STM3054	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	129
P10367	HIS2_SALTY	reviewed	Histidine biosynthesis bifunctional protein HisIE [Includes: Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19); Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31)]	hisI hisIE STM2078	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	203
Q8ZLA1	GHRB_SALTY	reviewed	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81)	ghrB STM3646	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	324
Q93IM5	GLK_SALTY	reviewed	Glucokinase (EC 2.7.1.2) (Glucose kinase)	glk STM2403	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	321
P0A9Z4	GLNB_SALTY	reviewed	Nitrogen regulatory protein P-II 1	glnB STM2561	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	112
Q8ZNG4	GLPB_SALTY	reviewed	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (Anaerobic G-3-P dehydrogenase subunit B) (Anaerobic G3Pdhase B) (EC 1.1.5.3)	glpB STM2285	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	419
P64251	GLPE_SALTY	reviewed	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	glpE STM3525	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	108
P0A1P8	GLRX1_SALTY	reviewed	Glutaredoxin 1 (Grx1)	grxA STM0872	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	87
Q9XCI8	DER_SALTY	reviewed	GTPase Der (GTP-binding protein EngA)	der engA STM2519	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	490
O68927	HOPD_SALTY	reviewed	Leader peptidase HopD	hopD STM3442	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	155
P0A271	HSLV_SALTY	reviewed	ATP-dependent protease subunit HslV (EC 3.4.25.2) (Heat shock protein HslV)	hslV STM4092	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	176
P65817	HTPX_SALTY	reviewed	Protease HtpX (EC 3.4.24.-) (Heat shock protein HtpX)	htpX STM1844	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	293
P0A2E1	GLYA_SALTY	reviewed	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA STM2555	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	417
Q8ZQS2	GPMA_SALTY	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA STM0772	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	250
Q7CPR9	HLDE_SALTY	reviewed	Bifunctional protein HldE [Includes: D-beta-D-heptose 7-phosphate kinase (EC 2.7.1.167) (D-beta-D-heptose 7-phosphotransferase) (D-glycero-beta-D-manno-heptose-7-phosphate kinase); D-beta-D-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) (D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase)]	hldE rfaE waaE STM3200	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	477
P0CL08	HILD_SALTY	reviewed	Transcriptional regulator hilD	hilD STM2875	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	309
Q8ZLJ4	HSLO_SALTY	reviewed	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	hslO STM3498	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	292
O30911	HSLU_SALTY	reviewed	ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)	hslU STM4091	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	443
Q8ZN41	HSCB_SALTY	reviewed	Co-chaperone protein HscB (Hsc20)	hscB STM2540	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	171
Q8ZQ68	MATP_SALTY	reviewed	Macrodomain Ter protein	matP STM1069	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	150
P43015	HILA_SALTY	reviewed	Transcriptional regulator HilA (Protein IagA)	hilA iagA STM2876	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	553
O33799	HPRT_SALTY	reviewed	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8)	hpt STM0170	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	178
Q8ZPZ5	HFLD_SALTY	reviewed	High frequency lysogenization protein HflD homolog	hflD STM1233	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	213
P0A2I7	HISM_SALTY	reviewed	Histidine transport system permease protein HisM	hisM STM2352	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	235
P10369	HIS8_SALTY	reviewed	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC STM2073	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	359
P00499	HIS1_SALTY	reviewed	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	hisG STM2071	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	299
P63521	LCFA_SALTY	reviewed	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3) (Long-chain acyl-CoA synthetase)	fadD STM1818	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	561
P02910	HISJ_SALTY	reviewed	Histidine-binding periplasmic protein (HBP)	hisJ STM2354	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	260
