Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P0AEE5	DGAL_ECOLI	reviewed	D-galactose-binding periplasmic protein (GBP) (D-galactose/ D-glucose-binding protein) (GGBP)	mglB b2150 JW2137	Escherichia coli (strain K12)	332
P76147	DGCF_ECOLI	reviewed	Probable diguanylate cyclase DgcF (DGC) (EC 2.7.7.65)	dgcF yneF b1522 JW5825	Escherichia coli (strain K12)	315
P75801	DGCI_ECOLI	reviewed	Probable diguanylate cyclase DgcI (DGC) (EC 2.7.7.65) (Putative lipoprotein DgcI)	dgcI yliF b0834 JW0818	Escherichia coli (strain K12)	442
P46139	DGCN_ECOLI	reviewed	Diguanylate cyclase DgcN (DGC) (EC 2.7.7.65)	dgcN yfiN b2604 JW2585	Escherichia coli (strain K12)	408
P76330	DGCQ_ECOLI	reviewed	Probable diguanylate cyclase DgcQ (DGC) (EC 2.7.7.65) (Cellulose synthesis regulatory protein)	dgcQ yedQ b1956 JW5832	Escherichia coli (strain K12)	564
P75908	DGCT_ECOLI	reviewed	Probable diguanylate cyclase DgcT (DGC) (EC 2.7.7.65)	dgcT ycdT b1025 JW5143	Escherichia coli (strain K12)	452
P21693	DBPA_ECOLI	reviewed	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)	dbpA b1343 JW1337	Escherichia coli (strain K12)	457
P0ABY7	FLHC_ECOLI	reviewed	Flagellar transcriptional regulator FlhC	flhC flaI b1891 JW1880	Escherichia coli (strain K12)	192
P77308	DDPB_ECOLI	reviewed	Probable D,D-dipeptide transport system permease protein DdpB	ddpB yddR b1486 JW1481	Escherichia coli (strain K12)	340
P0A6L0	DEOC_ECOLI	reviewed	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	deoC dra thyR b4381 JW4344	Escherichia coli (strain K12)	259
P76299	FLHB_ECOLI	reviewed	Flagellar biosynthetic protein FlhB	flhB yecQ b1880 JW1869	Escherichia coli (strain K12)	382
P0ACK5	DEOR_ECOLI	reviewed	Deoxyribose operon repressor	deoR nucR b0840 JW0824	Escherichia coli (strain K12)	252
P76016	DHAR_ECOLI	reviewed	PTS-dependent dihydroxyacetone kinase operon regulatory protein	dhaR ycgU b1201 JW5188	Escherichia coli (strain K12)	639
P0ABI8	CYOB_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	Escherichia coli (strain K12)	663
P16700	CYSP_ECOLI	reviewed	Thiosulfate-binding protein	cysP b2425 JW2418	Escherichia coli (strain K12)	338
P23845	CYSN_ECOLI	reviewed	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	cysN b2751 JW2721	Escherichia coli (strain K12)	475
P37195	DCTR_ECOLI	reviewed	HTH-type transcriptional regulator DctR	dctR yhiF b3507 JW3475	Escherichia coli (strain K12)	176
P0ABP3	DCUC_ECOLI	reviewed	Anaerobic C4-dicarboxylate transporter DcuC	dcuC b0621 JW0613/JW0616	Escherichia coli (strain K12)	461
P0AEE1	DCRB_ECOLI	reviewed	Protein DcrB	dcrB yhhR b3472 JW5682	Escherichia coli (strain K12)	185
P0AEM9	FLIY_ECOLI	reviewed	L-cystine-binding protein FliY (CBP) (Protein FliY) (Sulfate starvation-induced protein 7) (SSI7)	fliY yzzR b1920 JW1905	Escherichia coli (strain K12)	266
P52627	FLIZ_ECOLI	reviewed	Regulator of sigma S factor FliZ	fliZ yedH b1921 JW1906	Escherichia coli (strain K12)	183
P0C0V0	DEGP_ECOLI	reviewed	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP htrA ptd b0161 JW0157	Escherichia coli (strain K12)	474
P15286	FLK_ECOLI	reviewed	Flagellar regulator flk (Fluke)	flk div b2321 JW2318	Escherichia coli (strain K12)	331
P38097	DGCE_ECOLI	reviewed	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)	dgcE yegE b2067 JW2052	Escherichia coli (strain K12)	1105
P0AC13	DHPS_ECOLI	reviewed	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP dhpS b3177 JW3144	Escherichia coli (strain K12)	282
P06965	DICC_ECOLI	reviewed	Repressor protein of division inhibition gene dicB	dicC b1569 JW1561	Escherichia coli (strain K12)	76
P31680	DJLA_ECOLI	reviewed	Co-chaperone protein DjlA (DnaJ-like protein DjlA)	djlA yabH b0055 JW0054	Escherichia coli (strain K12)	271
P0ABS1	DKSA_ECOLI	reviewed	RNA polymerase-binding transcription factor DksA (DnaK suppressor protein)	dksA b0145 JW0141	Escherichia coli (strain K12)	151
P0AED9	DCM_ECOLI	reviewed	DNA-cytosine methyltransferase (EC 2.1.1.37) (M.EcoDcm)	dcm mec b1961 JW1944	Escherichia coli (strain K12)	472
P0A6P5	DER_ECOLI	reviewed	GTPase Der (Double era-like domain protein) (GTP-binding protein EngA)	der engA yfgK b2511 JW5403	Escherichia coli (strain K12)	490
P0AC44	DHSD_ECOLI	reviewed	Succinate dehydrogenase hydrophobic membrane anchor subunit	sdhD b0722 JW0712	Escherichia coli (strain K12)	115
P0ABR1	DINI_ECOLI	reviewed	DNA damage-inducible protein I	dinI b1061 JW1048	Escherichia coli (strain K12)	81
P25798	FLIF_ECOLI	reviewed	Flagellar M-ring protein	fliF fla AII.1 fla BI b1938 JW1922	Escherichia coli (strain K12)	552
P24171	DCP_ECOLI	reviewed	Dipeptidyl carboxypeptidase (EC 3.4.15.5) (Peptidyl-dipeptidase Dcp)	dcp b1538 JW1531	Escherichia coli (strain K12)	681
P0ACJ5	DECR_ECOLI	reviewed	DNA-binding transcriptional activator DecR	decR ybaO b0447 JW0437	Escherichia coli (strain K12)	152
P0A6K3	DEF_ECOLI	reviewed	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def fms b3287 JW3248	Escherichia coli (strain K12)	169
P0ABP8	DEOD_ECOLI	reviewed	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1) (Inosine phosphorylase)	deoD pup b4384 JW4347	Escherichia coli (strain K12)	239
P0AAP1	DGCC_ECOLI	reviewed	Probable diguanylate cyclase DgcC (DGC) (EC 2.7.7.65)	dgcC adrA yaiC b0385 JW0376	Escherichia coli (strain K12)	371
P31459	DGOK_ECOLI	reviewed	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase)	dgoK yidV b3693 JW3670	Escherichia coli (strain K12)	292
P0AA76	DGOT_ECOLI	reviewed	D-galactonate transporter	dgoT yidT b3691 JW5859	Escherichia coli (strain K12)	430
P15877	DHG_ECOLI	reviewed	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])	gcd b0124 JW0120	Escherichia coli (strain K12)	796
P28303	DINF_ECOLI	reviewed	DNA damage-inducible protein F	dinF b4044 JW4004	Escherichia coli (strain K12)	459
P0ACN7	CYTR_ECOLI	reviewed	HTH-type transcriptional repressor CytR	cytR b3934 JW3905	Escherichia coli (strain K12)	341
P08506	DACC_ECOLI	reviewed	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)	dacC b0839 JW0823	Escherichia coli (strain K12)	400
P28248	DCD_ECOLI	reviewed	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	dcd dus paxA b2065 JW2050	Escherichia coli (strain K12)	193
P36675	ARFA_ECOLI	reviewed	Alternative ribosome-rescue factor A	arfA yhdL b4550 JW3253	Escherichia coli (strain K12)	72
P0AB91	AROG_ECOLI	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG b0754 JW0737	Escherichia coli (strain K12)	350
P0A6E1	AROL_ECOLI	reviewed	Shikimate kinase 2 (SK 2) (EC 2.7.1.71) (Shikimate kinase II) (SKII)	aroL b0388 JW0379	Escherichia coli (strain K12)	174
P23325	ARPA_ECOLI	reviewed	Ankyrin repeat protein A (Ankyrin-like regulatory protein)	arpA arp yjaC b4017 JW3977	Escherichia coli (strain K12)	728
P37309	ARSR_ECOLI	reviewed	Arsenical resistance operon repressor	arsR arsE b3501 JW3468	Escherichia coli (strain K12)	117
P0AAF6	ARTP_ECOLI	reviewed	Arginine transport ATP-binding protein ArtP (EC 3.6.3.-)	artP b0864 JW0848	Escherichia coli (strain K12)	242
P18032	ARTA_ECOLI	reviewed	Protein ArtA	artA ECOK12F093	Escherichia coli (strain K12)	104
P24242	ASCG_ECOLI	reviewed	HTH-type transcriptional regulator AscG (Cryptic asc operon repressor)	ascG b2714 JW5434	Escherichia coli (strain K12)	336
P0AB85	APBE_ECOLI	reviewed	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)	apbE yojK yojL b2214 JW5368	Escherichia coli (strain K12)	351
P07330	CHEB_ECOLI	reviewed	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)	cheB b1883 JW1872	Escherichia coli (strain K12)	349
P07364	CHER_ECOLI	reviewed	Chemotaxis protein methyltransferase (EC 2.1.1.80)	cheR cheX b1884 JW1873	Escherichia coli (strain K12)	286
P0A964	CHEW_ECOLI	reviewed	Chemotaxis protein CheW	cheW b1887 JW1876	Escherichia coli (strain K12)	167
P0AE67	CHEY_ECOLI	reviewed	Chemotaxis protein CheY	cheY b1882 JW1871	Escherichia coli (strain K12)	129
P13656	CHIA_ECOLI	reviewed	Probable bifunctional chitinase/lysozyme [Includes: Chitinase (EC 3.2.1.14); Lysozyme (EC 3.2.1.17)]	chiA yheB b3338 JW3300	Escherichia coli (strain K12)	897
P75734	CHIQ_ECOLI	reviewed	Uncharacterized lipoprotein ChiQ	chiQ ybfN b0682 JW0668	Escherichia coli (strain K12)	108
P05194	AROD_ECOLI	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	aroD b1693 JW1683	Escherichia coli (strain K12)	252
P28246	BCR_ECOLI	reviewed	Bicyclomycin resistance protein (Sulfonamide resistance protein)	bcr bicA bicR sur suxA b2182 JW5363	Escherichia coli (strain K12)	396
P17445	BETB_ECOLI	reviewed	NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	betB b0312 JW0304	Escherichia coli (strain K12)	490
P06864	BGA2_ECOLI	reviewed	Evolved beta-galactosidase subunit alpha (Beta-gal) (EC 3.2.1.23) (Lactase)	ebgA b3076 JW5511	Escherichia coli (strain K12)	1030
P00722	BGAL_ECOLI	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
P0AAF3	ARAG_ECOLI	reviewed	Arabinose import ATP-binding protein AraG (EC 3.6.3.17)	araG b1900 JW1888	Escherichia coli (strain K12)	504
P69503	APT_ECOLI	reviewed	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	apt b0469 JW0458	Escherichia coli (strain K12)	183
P0A9E0	ARAC_ECOLI	reviewed	Arabinose operon regulatory protein	araC b0064 JW0063	Escherichia coli (strain K12)	292
P08203	ARAD_ECOLI	reviewed	L-ribulose-5-phosphate 4-epimerase AraD (EC 5.1.3.4) (Phosphoribulose isomerase)	araD b0061 JW0060	Escherichia coli (strain K12)	231
P0A9H9	CHEZ_ECOLI	reviewed	Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)	cheZ b1881 JW1870	Escherichia coli (strain K12)	214
P07639	AROB_ECOLI	reviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB b3389 JW3352	Escherichia coli (strain K12)	362
P12008	AROC_ECOLI	reviewed	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase) (EPSP phospholyase)	aroC b2329 JW2326	Escherichia coli (strain K12)	361
P15993	AROP_ECOLI	reviewed	Aromatic amino acid transport protein AroP (General aromatic amino acid permease)	aroP b0112 JW0108	Escherichia coli (strain K12)	457
P76213	CHO_ECOLI	reviewed	Excinuclease cho (EC 3.1.25.-) (Endonuclease cho) (UvrC homolog protein)	cho dinM sosD ydjQ b1741 JW1730	Escherichia coli (strain K12)	295
P39404	BGLJ_ECOLI	reviewed	Transcriptional activator protein BglJ	bglJ yjjR b4366 JW5955	Escherichia coli (strain K12)	225
P13000	BIOD1_ECOLI	reviewed	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225
P0AD14	BTSS_ECOLI	reviewed	Sensor histidine kinase BtsS (EC 2.7.13.3)	btsS yehU b2126 JW5353	Escherichia coli (strain K12)	561
P37659	BCSG_ECOLI	reviewed	Cellulose biosynthesis protein BcsG	bcsG yhjU b3538 JW3506	Escherichia coli (strain K12)	559
P37657	BCSE_ECOLI	reviewed	Cyclic di-GMP binding protein BcsE (Cellulose biosynthesis protein BcsE)	bcsE yhjS b3536 JW3504	Escherichia coli (strain K12)	523
P75980	BEEE_ECOLI	reviewed	Protein BeeE (Putative protein BeeE from lambdoid prophage e14 region)	beeE ymfO b1151 JW1137	Escherichia coli (strain K12)	157
P66948	BEPA_ECOLI	reviewed	Beta-barrel assembly-enhancing protease (EC 3.4.-.-)	bepA yfgC b2494 JW2479	Escherichia coli (strain K12)	487
P05804	BGLR_ECOLI	reviewed	Beta-glucuronidase (GUS) (EC 3.2.1.31) (Beta-D-glucuronoside glucuronosohydrolase)	uidA gurA gusA b1617 JW1609	Escherichia coli (strain K12)	603
P26218	BGLH_ECOLI	reviewed	Cryptic outer membrane porin BglH	bglH yieC b3720 JW3698	Escherichia coli (strain K12)	538
P28247	BICB_ECOLI	reviewed	Putative uncharacterized protein BicB	bicB	Escherichia coli (strain K12)	167
P0ADP5	BIOP_ECOLI	reviewed	Biotin transporter (Plasmamembrane biotin transport protein)	bioP yigM b3827 JW3803	Escherichia coli (strain K12)	299
P13001	BIOH_ECOLI	reviewed	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)	bioH bioB b3412 JW3375	Escherichia coli (strain K12)	256
P20099	BISC_ECOLI	reviewed	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)	bisC b3551 JW5940	Escherichia coli (strain K12)	777
P56100	CYDX_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit X (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit X) (Cytochrome d ubiquinol oxidase subunit X)	cydX ybgT b4515 JW0724	Escherichia coli (strain K12)	37
P0ABI4	CORA_ECOLI	reviewed	Magnesium transport protein CorA	corA b3816 JW3789	Escherichia coli (strain K12)	316
P0AE78	CORC_ECOLI	reviewed	Magnesium and cobalt efflux protein CorC	corC ybeX b0658 JW0655	Escherichia coli (strain K12)	292
P27297	BAX_ECOLI	reviewed	Protein bax	bax b3570 JW5653	Escherichia coli (strain K12)	274
P11989	BGLG_ECOLI	reviewed	Cryptic beta-glucoside bgl operon antiterminator	bglG bglC b3723 JW3701	Escherichia coli (strain K12)	278
P33363	BGLX_ECOLI	reviewed	Periplasmic beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	bglX yohA b2132 JW2120	Escherichia coli (strain K12)	765
P12995	BIOA_ECOLI	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA b0774 JW0757	Escherichia coli (strain K12)	429
P0AD99	BRNQ_ECOLI	reviewed	Branched-chain amino acid transport system 2 carrier protein (LIV-II)	brnQ b0401 JW0391	Escherichia coli (strain K12)	439
P12996	BIOB_ECOLI	reviewed	Biotin synthase (EC 2.8.1.6)	bioB b0775 JW0758	Escherichia coli (strain K12)	346
P12998	BIOF_ECOLI	reviewed	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384
P0A901	BLC_ECOLI	reviewed	Outer membrane lipoprotein Blc	blc yjeL b4149 JW4110	Escherichia coli (strain K12)	177
P56976	BLR_ECOLI	reviewed	Divisome-associated membrane protein Blr (Beta-lactam resistance protein)	blr b4409 JW5963	Escherichia coli (strain K12)	41
P29018	CYDD_ECOLI	reviewed	ATP-binding/permease protein CydD	cydD htrD b0887 JW0870	Escherichia coli (strain K12)	588
P37028	BTUF_ECOLI	reviewed	Vitamin B12-binding protein	btuF yadT b0158 JW0154	Escherichia coli (strain K12)	266
P0ABK2	CYDB_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB cyd-2 b0734 JW0723	Escherichia coli (strain K12)	379
P23886	CYDC_ECOLI	reviewed	ATP-binding/permease protein CydC	cydC mdrA mdrH surB b0886 JW0869	Escherichia coli (strain K12)	573
P06611	BTUD_ECOLI	reviewed	Vitamin B12 import ATP-binding protein BtuD (EC 3.6.3.33) (Vitamin B12-transporting ATPase)	btuD b1709 JW1699	Escherichia coli (strain K12)	249
P0AFT5	BTSR_ECOLI	reviewed	Transcriptional regulatory protein BtsR	btsR yehT b2125 JW5352	Escherichia coli (strain K12)	239
P77330	BORD_ECOLI	reviewed	Prophage lipoprotein Bor homolog (Lipoprotein Bor homolog from lambdoid prophage DLP12)	borD ybcU b0557 JW0546	Escherichia coli (strain K12)	97
P0ABE2	BOLA_ECOLI	reviewed	DNA-binding transcriptional regulator BolA	bolA b0435 JW5060	Escherichia coli (strain K12)	105
P0ABG1	CDSA_ECOLI	reviewed	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	cdsA cds b0175 JW5810	Escherichia coli (strain K12)	285
P0AE60	CEDA_ECOLI	reviewed	Cell division activator CedA	cedA ydjP b1731 JW1720	Escherichia coli (strain K12)	80
P0A9H7	CFA_ECOLI	reviewed	Cyclopropane-fatty-acyl-phospholipid synthase (CFA synthase) (Cyclopropane fatty acid synthase) (EC 2.1.1.79)	cfa cdfA b1661 JW1653	Escherichia coli (strain K12)	382
P62552	CCDA_ECOLI	reviewed	Antitoxin CcdA (LynA) (Protein H) (Protein LetA)	ccdA H letA ECOK12F042	Escherichia coli (strain K12)	72
P0ABM9	CCMH_ECOLI	reviewed	Cytochrome c-type biogenesis protein CcmH	ccmH yejP b2194 JW2182	Escherichia coli (strain K12)	350
P76236	CDGI_ECOLI	reviewed	Probable diguanylate cyclase CdgI (DGC) (EC 2.7.7.65)	cdgI yeaI b1785 JW1774	Escherichia coli (strain K12)	491
P0A6F9	CH10_ECOLI	reviewed	10 kDa chaperonin (GroES protein) (Protein Cpn10)	groS groES mopB b4142 JW4102	Escherichia coli (strain K12)	97
P38036	CAS3_ECOLI	reviewed	CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-)	ygcB cas3 b2761 JW2731	Escherichia coli (strain K12)	888
P76364	CBEA_ECOLI	reviewed	Cytoskeleton bundling-enhancing antitoxin CbeA (Antitoxin CbeA) (Antitoxin YeeU)	cbeA yeeU b2004 JW1986	Escherichia coli (strain K12)	122
P31456	CBRA_ECOLI	reviewed	Protein CbrA (CreB-regulated gene A protein)	cbrA yidS b3690 JW5631	Escherichia coli (strain K12)	354
Q46899	CASC_ECOLI	reviewed	CRISPR system Cascade subunit CasC	casC cas4 cse4 ygcJ b2758 JW2728	Escherichia coli (strain K12)	363
P63264	CBPM_ECOLI	reviewed	Chaperone modulatory protein CbpM	cbpM yccD b0999 JW0984	Escherichia coli (strain K12)	101
P33927	CCMF_ECOLI	reviewed	Cytochrome c-type biogenesis protein CcmF	ccmF yejR b2196 JW2184	Escherichia coli (strain K12)	647
P0ABL8	CCMB_ECOLI	reviewed	Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB)	ccmB yejV b2200 JW2188	Escherichia coli (strain K12)	220
P69490	CCME_ECOLI	reviewed	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	ccmE yejS b2197 JW2185	Escherichia coli (strain K12)	159
P37047	CDAR_ECOLI	reviewed	Carbohydrate diacid regulator (Sugar diacid regulator)	cdaR sdaR yaeG b0162 JW5013	Escherichia coli (strain K12)	385
P31468	CBRB_ECOLI	reviewed	Inner membrane protein CbrB (CreB-regulated gene B protein)	cbrB yieI b3716 JW3694	Escherichia coli (strain K12)	155
P62554	CCDB_ECOLI	reviewed	Toxin CcdB (Cytotoxic protein CcdB) (LynB) (Protein G) (Protein LetD)	ccdB G letB letD ECOK12F043	Escherichia coli (strain K12)	101
P33931	CCMA_ECOLI	reviewed	Cytochrome c biogenesis ATP-binding export protein CcmA (EC 7.6.2.5) (Heme exporter protein A)	ccmA yejW b2201 JW5366	Escherichia coli (strain K12)	207
P0ABF6	CDD_ECOLI	reviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	cdd b2143 JW2131	Escherichia coli (strain K12)	294
P0A6E9	BIOD2_ECOLI	reviewed	ATP-dependent dethiobiotin synthetase BioD 2 (EC 6.3.3.3) (DTB synthetase 2) (DTBS 2) (Dethiobiotin synthase 2)	bioD2 ynfK b1593 JW5264	Escherichia coli (strain K12)	231
P12999	BIOC_ECOLI	reviewed	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	bioC b0777 JW0760	Escherichia coli (strain K12)	251
P75990	BLUF_ECOLI	reviewed	Blue light- and temperature-regulated antirepressor BluF (Blrp)	bluF blrp ycgF b1163 JW1150	Escherichia coli (strain K12)	403
P75989	BLUR_ECOLI	reviewed	HTH-type transcriptional repressor BluR	bluR ycgE b1162 JW1149	Escherichia coli (strain K12)	243
P39297	BSMA_ECOLI	reviewed	Lipoprotein BsmA (Biofilm stress and motility protein)	bsmA yjfO b4189 JW5743	Escherichia coli (strain K12)	109
P0AAE8	CADB_ECOLI	reviewed	Probable cadaverine/lysine antiporter	cadB b4132 JW4093	Escherichia coli (strain K12)	444
P31553	CAIT_ECOLI	reviewed	L-carnitine/gamma-butyrobetaine antiporter	caiT yaaP b0040 JW0039	Escherichia coli (strain K12)	504
P69908	DCEA_ECOLI	reviewed	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	gadA gadS b3517 JW3485	Escherichia coli (strain K12)	466
P31469	CBRC_ECOLI	reviewed	UPF0167 protein CbrC (CreB-regulated gene C protein)	cbrC yieJ b3717 JW3695	Escherichia coli (strain K12)	195
P06282	CDH_ECOLI	reviewed	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	cdh b3918 JW3889	Escherichia coli (strain K12)	251
P31552	CAIC_ECOLI	reviewed	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48) (Betaine:CoA ligase)	caiC yaaM b0037 JW0036	Escherichia coli (strain K12)	517
P64524	CBTA_ECOLI	reviewed	Cytoskeleton-binding toxin CbtA (Toxin CbtA) (Toxin YeeV)	cbtA yeeV b2005 JW1987	Escherichia coli (strain K12)	124
P61517	CAN_ECOLI	reviewed	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2)	can cynT2 yadF b0126 JW0122	Escherichia coli (strain K12)	220
P00864	CAPP_ECOLI	reviewed	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc glu b3956 JW3928	Escherichia coli (strain K12)	883
Q46898	CAS5_ECOLI	reviewed	CRISPR system Cascade subunit CasD	casD cas5 ygcI b2757 JW5844	Escherichia coli (strain K12)	224
P00968	CARB_ECOLI	reviewed	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073
Q47083	CBL_ECOLI	reviewed	HTH-type transcriptional regulator cbl	cbl b1987 JW1966	Escherichia coli (strain K12)	316
P36995	CSPB_ECOLI	reviewed	Cold shock-like protein CspB (CSP-B)	cspB b1557 JW1549	Escherichia coli (strain K12)	71
P0A982	CSPH_ECOLI	reviewed	Cold shock-like protein CspH (CSP-H)	cspH cspK b0989 JW5134	Escherichia coli (strain K12)	70
P0A976	CSPF_ECOLI	reviewed	Cold shock-like protein CspF (CSP-F)	cspF b1558 JW1550	Escherichia coli (strain K12)	70
P69913	CSRA_ECOLI	reviewed	Carbon storage regulator (Translational dual regulator CsrA)	csrA zfiA b2696 JW2666	Escherichia coli (strain K12)	61
P13518	CSRD_ECOLI	reviewed	RNase E specificity factor CsrD (Regulator of CsrB and CsrC decay CsrD)	csrD yhdA b3252 JW3221	Escherichia coli (strain K12)	646
P23827	ECOT_ECOLI	reviewed	Ecotin	eco eti b2209 JW2197	Escherichia coli (strain K12)	162
P77188	ECPB_ECOLI	reviewed	Probable fimbrial chaperone EcpB	ecpB matC yagY b0292 JW0286	Escherichia coli (strain K12)	222
P77263	ECPE_ECOLI	reviewed	Probable fimbrial chaperone EcpE	ecpE matF yagV b0289 JW5030	Escherichia coli (strain K12)	236
P0A9F3	CYSB_ECOLI	reviewed	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB b1275 JW1267	Escherichia coli (strain K12)	324
P0AEA8	CYSG_ECOLI	reviewed	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG b3368 JW3331	Escherichia coli (strain K12)	457
P17854	CYSH_ECOLI	reviewed	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH b2762 JW2732	Escherichia coli (strain K12)	244
P17846	CYSI_ECOLI	reviewed	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI b2763 JW2733	Escherichia coli (strain K12)	570
